Quarter,Time,Tm,Detail,TEN,CLE
1,8:38,Titans,Ryan Succop 43 yard field goal,3,0
2,8:31,Browns,Zane Gonzalez 31 yard field goal,3,3
,1:37,Titans,Ryan Succop 23 yard field goal,6,3
3,4:25,Browns,Zane Gonzalez 47 yard field goal,6,6
4,14:50,Titans,Ryan Succop 46 yard field goal,9,6
,0:47,Browns,Zane Gonzalez 54 yard field goal,9,9
OT,0:00,Titans,Ryan Succop 47 yard field goal,12,9
