Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,HOU 25,0,0,Deshaun Watson pass complete short left to DeAndre Hopkins for 1 yard (tackle by Anthony Hitchens),0.610,0.200
1,14:29,2,9,HOU 26,0,0,Carlos Hyde left guard for 2 yards (tackle by Damien Wilson),0.200,-0.230
1,13:48,3,7,HOU 28,0,0,Deshaun Watson pass complete short middle to Will Fuller for 9 yards (tackle by Tyrann Mathieu),-0.230,1.400
1,13:11,1,10,HOU 37,0,0,Deshaun Watson pass complete short right to Carlos Hyde for 2 yards (tackle by Reggie Ragland),1.400,1.130
1,12:35,2,8,HOU 39,0,0,Carlos Hyde up the middle for 7 yards (tackle by Mike Pennel),1.130,1.360
1,12:07,3,1,HOU 46,6,0,"Deshaun Watson pass complete deep left to Kenny Stills for 54 yards, touchdown",1.360,7.000
1,11:59,,,KAN 15,7,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,11:59,,,HOU 35,7,0,"Ka'imi Fairbairn kicks off 61 yards, returned by Mecole Hardman for 17 yards (tackle by Peter Kalambayi)",0.000,0.340
1,11:54,1,10,KAN 21,7,0,Damien Williams left guard for 3 yards (tackle by D.J. Reader),0.340,0.210
1,11:23,2,7,KAN 24,7,0,"Penalty on Eric Fisher: False Start, 5 yards (no play)",0.210,-0.530
1,11:06,2,12,KAN 19,7,0,Patrick Mahomes pass complete short right to Mecole Hardman for 6 yards (tackle by Vernon Hargreaves),-0.530,-0.360
1,10:19,,,,,,Timeout #1 by Kansas City Chiefs,,
1,10:19,3,6,KAN 25,7,0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,-0.360,-1.700
1,10:13,4,6,KAN 25,13,0,"Dustin Colquitt punts blocked by Barkevious Mingo, recovered by Lonnie Johnson, touchdown",-1.700,-7.000
1,10:06,,,KAN 15,14,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,10:06,,,HOU 35,14,0,"Ka'imi Fairbairn kicks off 63 yards, returned by Mecole Hardman for 16 yards (tackle by Buddy Howell)",0.000,0.040
1,10:01,1,10,KAN 18,14,0,Patrick Mahomes pass complete short right to Tyreek Hill for 17 yards (tackle by Bradley Roby),0.040,1.270
1,9:26,1,10,KAN 35,14,0,Damien Williams left tackle for no gain (tackle by Angelo Blackson),1.270,0.720
1,8:49,2,10,KAN 35,14,0,Patrick Mahomes pass complete short left to Travis Kelce for 15 yards (tackle by Gareon Conley),0.720,2.260
1,8:06,1,10,KAN 50,14,0,Patrick Mahomes pass incomplete short right intended for Damien Williams,2.260,1.710
1,7:58,2,10,KAN 50,14,0,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Lonnie Johnson),1.710,1.690
1,7:20,3,5,HOU 45,14,0,Patrick Mahomes pass incomplete short right intended for Demarcus Robinson,1.690,0.270
1,7:15,4,5,HOU 45,14,0,"Dustin Colquitt punts 30 yards, fair catch by DeAndre Carter at HOU-15",0.270,0.220
1,7:08,1,10,HOU 15,14,0,Duke Johnson left end for 11 yards (tackle by Damien Wilson),-0.220,0.670
1,6:23,1,10,HOU 26,14,0,Deshaun Watson left end for 7 yards (tackle by Tyrann Mathieu),0.670,1.070
1,5:52,2,3,HOU 33,14,0,Carlos Hyde left end for 7 yards (tackle by Terrell Suggs and Daniel Sorensen),1.070,1.600
1,5:18,1,10,HOU 40,14,0,Carlos Hyde up the middle for 5 yards (tackle by Bashaud Breeland),1.600,1.730
1,4:37,2,5,HOU 45,14,0,Deshaun Watson pass complete short left to Will Fuller for 6 yards (tackle by Damien Wilson),1.730,2.320
1,4:01,1,10,KAN 49,14,0,Deshaun Watson pass complete short right to Duke Johnson for -1 yards (tackle by Reggie Ragland),2.320,1.650
1,3:13,2,11,HOU 50,14,0,Deshaun Watson pass incomplete deep right intended for Kenny Stills,1.650,0.960
1,3:08,3,11,HOU 50,14,0,Deshaun Watson sacked by Frank Clark for -6 yards,0.960,-0.460
1,2:20,4,17,HOU 44,14,0,"Bryan Anger punts 50 yards, muffed catch by Tyreek Hill, recovered by Keion Crossen at KC-6",-0.460,5.830
1,2:09,1,6,KAN 6,14,0,Deshaun Watson right end for 2 yards (tackle by Tanoh Kpassagnon and Daniel Sorensen),5.830,5.340
1,1:24,2,4,KAN 4,20,0,"Deshaun Watson pass complete short middle to Darren Fells for 4 yards, touchdown",5.340,7.000
1,1:21,,,KAN 15,21,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,1:21,,,HOU 35,21,0,"Ka'imi Fairbairn kicks off 64 yards, muffed catch by Mecole Hardman returned by Mecole Hardman for 15 yards (tackle by Taiwan Jones)",0.000,0.150
1,1:14,1,10,KAN 19,21,0,Patrick Mahomes pass incomplete short right intended for Damien Williams,0.150,-0.390
1,1:09,2,10,KAN 19,21,0,Patrick Mahomes pass incomplete short middle intended for Demarcus Robinson,-0.390,-1.070
1,1:05,3,10,KAN 19,21,0,Patrick Mahomes pass incomplete deep right intended for Tyreek Hill (defended by Justin Reid),-1.070,-2.140
1,1:00,4,10,KAN 19,21,0,"Dustin Colquitt punts 43 yards, returned by DeAndre Carter for 11 yards (tackle by Dorian O'Daniel)",-2.140,-2.190
1,0:49,1,10,HOU 49,21,0,Carlos Hyde right guard for 7 yards (tackle by Bashaud Breeland and Anthony Hitchens),2.190,2.590
1,0:10,2,3,KAN 44,21,0,Carlos Hyde left tackle for 2 yards (tackle by Derrick Nnadi and Damien Wilson),2.590,2.150
Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,KAN 42,21,0,"Deshaun Watson right end for 3 yards (tackle by Tyrann Mathieu). Penalty on Roderick Johnson: Offensive Holding, 10 yards (no play)",2.150,0.830
2,14:31,3,11,HOU 48,21,0,Deshaun Watson pass complete short left to DeAndre Hopkins for 13 yards (tackle by Charvarius Ward),0.830,2.980
2,13:47,1,10,KAN 39,21,0,Carlos Hyde left guard for 2 yards (tackle by Damien Wilson and Daniel Sorensen),2.980,2.710
