Unnamed: 0,HOU,KAN
First Downs,23,29
Rush-Yds-TDs,21-94-1,21-118-2
Cmp-Att-Yd-TD-INT,31-52-388-2-0,23-35-321-5-0
Sacked-Yards,5-40,1-5
Net Pass Yards,348,316
Total Yards,442,434
Fumbles-Lost,2-1,2-1
Turnovers,1,1
Penalties-Yards,7-87,4-37
Third Down Conv.,5-15,2-8
Fourth Down Conv.,1-5,0-0
Time of Possession,34:35,25:25
