Quarter,Time,Tm,Detail,HOU,KAN
1.0,11:59,Texans,Kenny Stills 54 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,0
,10:06,Texans,Lonnie Johnson Jr. 10 yard blocked punt return (Ka'imi Fairbairn kick),14,0
,1:21,Texans,Darren Fells 4 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,0
2.0,10:54,Texans,Ka'imi Fairbairn 31 yard field goal,24,0
,9:55,Chiefs,Damien Williams 17 yard pass from Patrick Mahomes (Harrison Butker kick),24,7
,8:05,Chiefs,Travis Kelce 5 yard pass from Patrick Mahomes (Harrison Butker kick),24,14
,6:31,Chiefs,Travis Kelce 6 yard pass from Patrick Mahomes (Harrison Butker kick),24,21
,0:44,Chiefs,Travis Kelce 5 yard pass from Patrick Mahomes (Harrison Butker kick),24,28
3.0,11:24,Chiefs,Damien Williams 1 yard rush (Harrison Butker kick failed),24,34
,4:39,Chiefs,Damien Williams 5 yard rush (Harrison Butker kick),24,41
,0:24,Texans,Deshaun Watson 5 yard rush (Ka'imi Fairbairn kick),31,41
4.0,13:52,Chiefs,Blake Bell 8 yard pass from Patrick Mahomes (Harrison Butker kick),31,48
,8:06,Chiefs,Harrison Butker 24 yard field goal,31,51
