Unnamed: 0,TAM,CAR
First Downs,22,15
Rush-Yds-TDs,26-154-0,33-157-1
Cmp-Att-Yd-TD-INT,23-44-321-0-5,14-20-161-0-1
Sacked-Yards,2-6,1-9
Net Pass Yards,315,152
Total Yards,469,309
Fumbles-Lost,0-0,1-1
Turnovers,5,2
Penalties-Yards,5-50,5-37
Third Down Conv.,4-14,3-11
Fourth Down Conv.,1-2,0-0
Time of Possession,31:04,28:56
