Unnamed: 0,STL,WAS
First Downs,14,21
Rush-Yds-TDs,21-126-0,33-125-0
Cmp-Att-Yd-TD-INT,15-28-125-1-0,23-36-242-0-0
Sacked-Yards,1-6,1-5
Net Pass Yards,119,237
Total Yards,245,362
Fumbles-Lost,2-1,2-1
Turnovers,1,1
Penalties-Yards,6-45,5-35
Third Down Conv.,6-12,7-15
Fourth Down Conv.,0-1,1-2
Time of Possession,25:07,34:53
