Quarter,Time,Tm,Detail,STL,WAS
1.0,4:57,Redskins,Shaun Suisham 21 yard field goal,0,3
2.0,7:58,Redskins,Shaun Suisham 28 yard field goal,0,6
,3:56,Rams,Laurent Robinson 2 yard pass from Marc Bulger (Josh Brown kick),7,6
3.0,6:27,Redskins,Shaun Suisham 23 yard field goal,7,9
