Unnamed: 0,CIN,IND
First Downs,19,24
Rush-Yds-TDs,20-101-1,22-75-0
Cmp-Att-Yd-TD-INT,21-28-243-2-1,39-53-319-2-1
Sacked-Yards,2-14,2-14
Net Pass Yards,229,305
Total Yards,330,380
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,8-94,7-91
Third Down Conv.,4-8,11-17
Fourth Down Conv.,0-0,0-0
Time of Possession,27:12,32:48
