Quarter,Time,Tm,Detail,CIN,IND
1.0,8:20,Bengals,Randy Bullock 42 yard field goal,3,0
,1:23,Colts,Adam Vinatieri 21 yard field goal,3,3
2.0,12:02,Colts,Eric Ebron 26 yard pass from Andrew Luck (Adam Vinatieri kick),3,10
,3:01,Colts,Adam Vinatieri 38 yard field goal,3,13
,1:44,Bengals,John Ross 3 yard pass from Andy Dalton (Randy Bullock kick),10,13
,0:02,Colts,Adam Vinatieri 51 yard field goal,10,16
3.0,8:13,Colts,T.Y. Hilton 5 yard pass from Andrew Luck (Adam Vinatieri kick),10,23
,4:09,Bengals,A.J. Green 38 yard pass from Andy Dalton (Randy Bullock kick),17,23
4.0,11:07,Bengals,Joe Mixon 1 yard rush (Randy Bullock kick),24,23
,3:57,Bengals,Randy Bullock 39 yard field goal,27,23
,0:24,Bengals,Clayton Fejedelem 83 yard fumble return (Randy Bullock kick),34,23
