Quarter,Time,Tm,Detail,KAN,NWE
1.0,10:23,Patriots,Rob Gronkowski 8 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
,1:52,Chiefs,Cairo Santos 34 yard field goal,3,7
2.0,3:23,Patriots,Tom Brady 1 yard rush (Stephen Gostkowski kick),3,14
,0:12,Chiefs,Cairo Santos 32 yard field goal,6,14
3.0,8:24,Patriots,Rob Gronkowski 16 yard pass from Tom Brady (Stephen Gostkowski kick),6,21
,2:12,Chiefs,Albert Wilson 10 yard pass from Alex Smith (Cairo Santos kick),13,21
4.0,14:46,Patriots,Stephen Gostkowski 40 yard field goal,13,24
,10:20,Patriots,Stephen Gostkowski 32 yard field goal,13,27
,1:13,Chiefs,Charcandrick West 1 yard rush (Cairo Santos kick),20,27
