Unnamed: 0,KAN,NWE
First Downs,27,21
Rush-Yds-TDs,32-135-1,14-38-1
Cmp-Att-Yd-TD-INT,29-50-246-1-0,28-42-302-2-0
Sacked-Yards,1-3,0-0
Net Pass Yards,243,302
Total Yards,378,340
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,5-40,6-24
Third Down Conv.,12-20,6-12
Fourth Down Conv.,1-2,0-0
Time of Possession,37:51,22:09
