Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NWE 20,0,0,Tom Brady pass complete short right to Brandon LaFell for no gain,0.280,-0.270
1,14:40,2,10,NWE 20,0,0,Tom Brady pass incomplete short middle intended for Julian Edelman,-0.270,-0.960
1,14:29,3,10,NWE 20,0,0,Tom Brady pass complete short left to Julian Edelman for 11 yards (tackle by Dee Ford),-0.960,1.000
1,13:57,1,10,NWE 31,0,0,Tom Brady pass complete short middle to Julian Edelman for 13 yards (tackle by Ron Parker and Derrick Johnson),1.000,1.860
1,13:26,1,10,NWE 44,0,0,Tom Brady pass complete short left to Danny Amendola for 16 yards (tackle by Sean Smith),1.860,2.920
1,12:51,1,10,KAN 40,0,0,Tom Brady pass incomplete short middle intended for Brandon LaFell,2.920,2.370
1,12:48,2,10,KAN 40,0,0,Tom Brady pass complete short right to Brandon LaFell for -3 yards (tackle by Dee Ford),2.370,1.290
1,12:04,3,13,KAN 43,0,0,Tom Brady pass complete short middle to Rob Gronkowski for 32 yards (tackle by Daniel Sorensen and Eric Berry),1.290,4.840
1,11:16,1,10,KAN 11,0,0,Tom Brady pass incomplete short right intended for Julian Edelman,4.840,4.140
1,11:08,2,10,KAN 11,0,0,Tom Brady pass complete short left to Rob Gronkowski for 3 yards (tackle by Eric Berry),4.140,3.760
1,10:27,3,7,KAN 8,0,6,"Tom Brady pass complete short left to Rob Gronkowski for 8 yards, touchdown",3.760,7.000
1,10:27,,,KAN 8,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,10:27,,,NWE 35,0,7,"Stephen Gostkowski kicks off 68 yards, returned by Knile Davis for 23 yards (tackle by Dekoda Watson)",0.000,-0.280
1,10:17,1,10,KAN 20,0,7,Alex Smith pass complete short right to Demetrius Harris for 10 yards (tackle by Rob Ninkovich and Devin McCourty),0.280,0.940
1,9:40,1,10,KAN 30,0,7,Alex Smith pass complete short left to Anthony Sherman for 1 yard (tackle by Patrick Chung),0.940,0.530
1,9:01,2,9,KAN 31,0,7,Alex Smith pass complete short right to Frankie Hammond for 2 yards (tackle by Patrick Chung and Logan Ryan),0.530,0.100
1,8:14,3,7,KAN 33,0,7,Alex Smith pass complete short middle to Jeremy Maclin for 11 yards (tackle by Logan Ryan),0.100,1.860
1,7:36,1,10,KAN 44,0,7,Charcandrick West left guard for 3 yards (tackle by Dont'a Hightower and Rob Ninkovich),1.860,1.720
1,6:58,2,7,KAN 47,0,7,Charcandrick West left guard for 4 yards (tackle by Dont'a Hightower and Jamie Collins),1.720,1.550
1,6:15,3,3,NWE 49,0,7,Alex Smith pass complete short middle to Travis Kelce for 5 yards (tackle by Rob Ninkovich),1.550,2.650
1,5:33,1,10,NWE 44,0,7,Alex Smith pass incomplete short left intended for Charcandrick West,2.650,2.110
1,5:26,2,10,NWE 44,0,7,Alex Smith right end for -3 yards (tackle by Rob Ninkovich),2.110,2.110
1,4:52,2,10,NWE 44,0,7,Timeout #1 by Kansas City Chiefs,2.110,1.030
1,4:52,3,13,NWE 47,0,7,Alex Smith left tackle for 15 yards (tackle by Jabaal Sheard),1.030,3.450
1,4:16,1,10,NWE 32,0,7,Knile Davis left tackle for 6 yards (tackle by Patrick Chung and Malcolm Butler),3.450,3.710
1,3:32,2,4,NWE 26,0,7,Alex Smith pass incomplete short left intended for Jason Avant,3.710,3.710
1,3:27,2,4,NWE 26,0,7,Timeout #2 by Kansas City Chiefs,3.710,3.010
1,3:27,3,4,NWE 26,0,7,Charcandrick West left end for 6 yards (tackle by Justin Coleman),3.010,4.240
1,2:46,1,10,NWE 20,0,7,Charcandrick West right guard for 4 yards (tackle by Malcom Brown and Jamie Collins),4.240,4.280
1,2:08,2,6,NWE 16,0,7,Alex Smith pass incomplete deep middle intended for Travis Kelce,4.280,3.520
1,2:03,3,6,NWE 16,0,7,Alex Smith pass incomplete,3.520,2.400
1,1:55,4,6,NWE 16,3,7,Cairo Santos 34 yard field goal good,2.400,3.000
1,1:55,,,KAN 35,3,7,"Cairo Santos kicks off 65 yards, touchback",0.000,-0.280
1,1:52,1,10,NWE 20,3,7,Tom Brady pass complete short right to Julian Edelman for 3 yards (tackle by Tyvon Branch),0.280,0.140
1,1:15,2,7,NWE 23,3,7,Tom Brady pass incomplete short left intended for Danny Amendola,0.140,-0.560
1,1:10,3,7,NWE 23,3,7,Tom Brady pass complete short left to Brandon LaFell for 9 yards (tackle by Ron Parker),-0.560,1.070
1,0:38,1,10,NWE 32,3,7,Steven Jackson left guard for 2 yards (tackle by Tamba Hali),1.070,0.800
1,0:07,2,8,NWE 34,3,7,Tom Brady pass incomplete short left intended for Julian Edelman,0.800,0.100
1,0:02,3,8,NWE 34,3,7,Tom Brady pass incomplete short middle intended for Julian Edelman,0.100,-1.110
Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,8,NWE 34,3,7,"Ryan Allen punts 41 yards, returned by Frankie Hammond for 8 yards (tackle by Brandon Bolden)",-1.110,-1.140
2,14:51,1,10,KAN 33,3,7,Charcandrick West right tackle for 11 yards (tackle by Rob Ninkovich),1.140,1.860
2,14:05,1,10,KAN 44,3,7,Alex Smith pass complete short left to Chris Conley for 5 yards (tackle by Logan Ryan),1.860,1.990
2,13:39,2,5,KAN 49,3,7,Charcandrick West middle for 3 yards (tackle by Alan Branch),1.990,1.690
2,13:02,3,2,NWE 48,3,7,Charcandrick West middle for 3 yards (tackle by Alan Branch),1.690,2.590
2,12:24,1,10,NWE 45,3,7,Knile Davis left tackle for 3 yards (tackle by Alan Branch and Malcom Brown),2.590,2.450
2,11:46,2,7,NWE 42,3,7,Alex Smith pass incomplete,2.450,1.750
2,11:40,3,7,NWE 42,3,7,Alex Smith pass incomplete short middle intended for Travis Kelce. Penalty on Donald Stephenson: Illegal Use of Hands (Declined),1.750,0.460
2,11:36,4,7,NWE 42,3,7,"Dustin Colquitt punts 32 yards, fair catch by Danny Amendola",0.460,0.380
2,11:29,1,10,NWE 10,3,7,Tom Brady pass incomplete short left intended for Julian Edelman,-0.380,-0.780
2,11:25,2,10,NWE 10,3,7,Tom Brady pass complete short left to Steven Jackson for 2 yards (tackle by Frank Zombo),-0.780,-1.190
2,10:57,3,8,NWE 12,3,7,Tom Brady pass incomplete short middle intended for James White,-1.190,-2.490
2,10:51,4,8,NWE 12,3,7,"Ryan Allen punts 43 yards, returned by Frankie Hammond for 19 yards (tackle by Michael Williams)",-2.490,-3.180
2,10:37,1,10,NWE 36,3,7,Alex Smith pass complete short left to Travis Kelce for -2 yards (tackle by Malcolm Butler),3.180,2.370
2,9:58,2,12,NWE 38,3,7,Alex Smith pass incomplete deep right intended for Jeremy Maclin,2.370,1.690
2,9:51,3,12,NWE 38,3,7,Alex Smith pass complete short right to Travis Kelce for 1 yard (tackle by Patrick Chung and Dont'a Hightower),1.690,0.790
2,9:08,4,11,NWE 37,3,7,"Dustin Colquitt punts 33 yards. Penalty on Danny Amendola: Unnecessary Roughness, 2 yards",0.790,0.380
2,8:59,1,10,NWE 2,3,7,Tom Brady pass complete short middle to Julian Edelman for 12 yards (tackle by Tyvon Branch),-0.380,-0.280
2,8:25,1,10,NWE 14,3,7,"Penalty on Brandon LaFell: False Start, 5 yards (no play)",-0.280,-0.570
2,8:06,1,15,NWE 9,3,7,Tom Brady pass complete deep right to Keshawn Martin for 42 yards (tackle by Eric Berry),-0.570,2.320
2,7:40,1,10,KAN 49,3,7,Steven Jackson left guard for 2 yards (tackle by Derrick Johnson and Jaye Howard),2.320,2.050
2,7:07,2,8,KAN 47,3,7,Tom Brady pass complete short left to Rob Gronkowski for 4 yards (tackle by Eric Berry),2.050,1.880
2,6:28,3,4,KAN 43,3,7,Tom Brady pass complete short right to Julian Edelman for 6 yards (tackle by Ron Parker),1.880,3.120
2,5:51,1,10,KAN 37,3,7,Tom Brady pass complete short left to Danny Amendola for 2 yards (tackle by Ron Parker),3.120,2.840
2,5:22,2,8,KAN 35,3,7,"Tom Brady pass incomplete deep right intended for Brandon LaFell. Penalty on Dezman Moses: Roughing the Passer, 15 yards (no play)",2.840,4.240
2,5:13,1,10,KAN 20,3,7,Steven Jackson left guard for 8 yards (tackle by Tyvon Branch and Sean Smith),4.240,5.040
2,4:47,2,2,KAN 12,3,7,Steven Jackson middle for 4 yards (tackle by Dee Ford),5.040,5.370
2,4:13,1,8,KAN 8,3,7,Tom Brady pass complete short right to Brandon Bolden for -3 yards (tackle by Ron Parker and Marcus Peters),5.370,4.020
2,3:34,2,11,KAN 11,3,7,Tom Brady right end for 10 yards (tackle by Husain Abdullah and Tyvon Branch),4.020,5.170
