Unnamed: 0,CLE,PIT
First Downs,12,28
Rush-Yds-TDs,23-91-0,36-140-1
Cmp-Att-Yd-TD-INT,9-26-122-1-2,23-35-417-2-1
Sacked-Yards,2-16,3-14
Net Pass Yards,106,403
Total Yards,197,543
Fumbles-Lost,2-2,3-3
Turnovers,4,4
Penalties-Yards,4-45,4-30
Third Down Conv.,5-13,4-11
Fourth Down Conv.,0-0,1-1
Time of Possession,23:14,36:46
