Unnamed: 0,NWE,PIT
First Downs,14,18
Rush-Yds-TDs,25-81-0,28-82-1
Cmp-Att-Yd-TD-INT,19-28-240-3-1,22-36-190-1-1
Sacked-Yards,2-18,2-8
Net Pass Yards,222,182
Total Yards,303,264
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,7-59,1-5
Third Down Conv.,4-13,3-14
Fourth Down Conv.,0-0,1-3
Time of Possession,27:41,32:19
