Unnamed: 0,NWE,BUF
First Downs,20,18
Rush-Yds-TDs,23-107-0,25-90-0
Cmp-Att-Yd-TD-INT,26-40-243-3-3,19-31-254-3-1
Sacked-Yards,1-9,2-17
Net Pass Yards,234,237
Total Yards,341,327
Fumbles-Lost,1-0,2-2
Turnovers,3,3
Penalties-Yards,2-20,2-20
Third Down Conv.,4-13,7-12
Fourth Down Conv.,2-2,0-0
Time of Possession,32:37,27:23
