Quarter,Time,Tm,Detail,PHI,CHI
2.0,9:28,Bears,Paul Edinger 30 yard field goal,0,3
,4:42,Eagles,Donovan McNabb 5 yard rush (David Akers kick),7,3
,1:17,Bears,Anthony Thomas 6 yard rush (Paul Edinger kick),7,10
,0:00,Bears,Paul Edinger 53 yard field goal,7,13
3.0,10:22,Eagles,David Akers 23 yard field goal,10,13
,5:42,Eagles,David Akers 36 yard field goal,13,13
4.0,13:29,Eagles,David Akers 27 yard field goal,16,13
,3:42,Eagles,David Akers 22 yard field goal,19,13
