Unnamed: 0,PHI,CHI
First Downs,23,18
Rush-Yds-TDs,37-117-1,24-74-1
Cmp-Att-Yd-TD-INT,18-33-209-0-1,19-37-205-0-0
Sacked-Yards,3-17,3-19
Net Pass Yards,192,186
Total Yards,309,260
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,6-54,12-121
Third Down Conv.,5-16,1-11
Fourth Down Conv.,1-3,1-2
Time of Possession,33:01,26:59
