Unnamed: 0,GNB,KAN
First Downs,21,21
Rush-Yds-TDs,26-118-1,20-88-1
Cmp-Att-Yd-TD-INT,23-33-305-3-0,24-36-267-2-0
Sacked-Yards,5-49,2-18
Net Pass Yards,256,249
Total Yards,374,337
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,4-25,3-30
Third Down Conv.,8-13,6-11
Fourth Down Conv.,0-0,0-0
Time of Possession,33:13,26:47
