Quarter,Time,Tm,Detail,GNB,KAN
1.0,8:43,Packers,Aaron Jones 4 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
,2:09,Packers,Jamaal Williams 1 yard rush (Mason Crosby kick),14,0
2.0,10:55,Chiefs,Travis Kelce 29 yard pass from Matt Moore (Harrison Butker kick),14,7
,6:14,Chiefs,Mecole Hardman 30 yard pass from Matt Moore (Harrison Butker kick),14,14
,0:56,Chiefs,Harrison Butker 28 yard field goal,14,17
3.0,1:31,Packers,Mason Crosby 35 yard field goal,17,17
4.0,13:57,Packers,Jamaal Williams 3 yard pass from Aaron Rodgers (Mason Crosby kick),24,17
,9:01,Chiefs,Damien Williams 3 yard rush (Harrison Butker kick),24,24
,8:02,Packers,Aaron Jones 67 yard pass from Aaron Rodgers (Mason Crosby kick),31,24
