Unnamed: 0,ATL,DET
First Downs,26,21
Rush-Yds-TDs,28-151-1,19-71-0
Cmp-Att-Yd-TD-INT,24-35-294-2-3,25-45-264-1-0
Sacked-Yards,2-17,2-11
Net Pass Yards,277,253
Total Yards,428,324
Fumbles-Lost,0-0,0-0
Turnovers,3,0
Penalties-Yards,8-68,9-98
Third Down Conv.,4-9,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:35,27:25
