Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA
1,6:59,3,6,DET 15,7,0,Matthew Stafford pass complete short right to Marvin Jones for 7 yards (tackle by Desmond Trufant),-0.950,0.410
1,6:22,1,10,DET 22,7,0,Ameer Abdullah left tackle for 3 yards (tackle by De'Vondre Campbell and Deion Jones),0.410,0.270
1,5:51,2,7,DET 25,7,0,Matthew Stafford pass complete short left to Kenny Golladay for 13 yards (tackle by Robert Alford),0.270,1.470
1,5:19,1,10,DET 38,7,0,Matthew Stafford pass complete short right to Golden Tate for -1 yards (tackle by Brian Poole),1.470,0.790
1,4:46,2,11,DET 37,7,0,"Matthew Stafford pass complete short right to Theo Riddick for 6 yards (tackle by Deion Jones). Penalty on T.J. Lang: Unnecessary Roughness, 15 yards",0.790,-1.090
1,4:14,3,20,DET 28,7,0,Matthew Stafford pass complete short left to Golden Tate for 5 yards (tackle by De'Vondre Campbell),-1.090,-1.180
1,3:41,4,15,DET 33,7,0,"Jeff Locke punts 49 yards, returned by Andre Roberts for 11 yards (tackle by Miles Killebrew)",-1.180,-0.870
1,3:27,1,10,ATL 29,7,0,Tevin Coleman right end for 1 yard (tackle by Nick Bellore),0.870,0.460
1,2:43,2,9,ATL 30,7,0,"Penalty on Wes Schweitzer: False Start, 5 yards (no play)",0.460,-0.210
1,2:19,2,14,ATL 25,7,0,Matt Ryan pass complete short right to Tevin Coleman for 12 yards (tackle by Miles Killebrew),-0.210,0.700
1,1:33,3,2,ATL 37,7,0,"Matt Ryan pass incomplete deep right intended for Julio Jones. Penalty on Nevin Lawson: Defensive Pass Interference, 22 yards (no play)",0.700,2.850
1,1:25,1,10,DET 41,7,0,Matt Ryan pass incomplete deep left intended for Austin Hooper,2.850,2.310
1,1:19,2,10,DET 41,7,0,Tevin Coleman right end for 14 yards (tackle by Miles Killebrew),2.310,3.780
1,0:35,1,10,DET 27,7,0,Matt Ryan pass incomplete deep left intended for Taylor Gabriel,3.780,3.230
1,0:29,2,10,DET 27,7,0,Devonta Freeman left end for 12 yards (tackle by Haloti Ngata),3.230,4.580
Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 15,7,0,"Penalty on Austin Hooper: False Start, 5 yards (no play)",4.580,4.240
2,15:00,1,15,DET 20,7,0,Matt Ryan pass complete short middle to Devonta Freeman for 4 yards (tackle by Tahir Whitehead),4.240,3.810
2,14:20,2,11,DET 16,7,0,Matt Ryan pass complete short middle to Austin Hooper for 9 yards (tackle by Nevin Lawson and Glover Quin),3.810,4.680
2,13:36,3,2,DET 7,7,0,Matt Ryan sacked by Anthony Zettel for -11 yards,4.680,2.250
2,12:56,4,13,DET 18,10,0,Matt Bryant 36 yard field goal good,2.250,3.000
2,12:51,,,ATL 35,10,0,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
2,12:51,1,10,DET 25,10,0,Ameer Abdullah left tackle for 3 yards (tackle by Brooks Reed),0.610,0.470
2,12:19,2,7,DET 28,10,0,"Matthew Stafford pass complete short middle to Marvin Jones for 12 yards (tackle by Robert Alford). Penalty on Deion Jones: Unnecessary Roughness, 15 yards",0.470,2.590
2,11:49,1,10,ATL 45,10,0,Ameer Abdullah left tackle for 4 yards (tackle by Robert Alford),2.590,2.580
2,11:11,2,6,ATL 41,10,0,Matthew Stafford pass complete short left to Theo Riddick for 4 yards (tackle by Deion Jones),2.580,2.410
2,10:36,3,2,ATL 37,10,0,Matthew Stafford pass incomplete short left intended for Theo Riddick (defended by Deion Jones),2.410,0.790
2,10:32,4,2,ATL 37,10,3,Matt Prater 55 yard field goal good,0.790,3.000
2,10:27,,,DET 35,10,3,"Jeff Locke kicks off 67 yards, returned by Andre Roberts for 38 yards (tackle by Charles Washington)",0.000,-1.330
2,10:18,1,10,ATL 36,10,3,Devonta Freeman right end for 9 yards (tackle by Miles Killebrew),1.330,2.010
2,9:47,2,1,ATL 45,10,3,Devonta Freeman left end for 4 yards (tackle by Jeremiah Ledbetter),2.010,2.190
2,9:22,1,10,ATL 49,10,3,Matt Ryan pass complete short right to Julio Jones for 13 yards (tackle by D.J. Hayden),2.190,3.050
2,8:39,1,10,DET 38,10,3,"Tevin Coleman right end for 25 yards (tackle by Miles Killebrew). Penalty on A'Shawn Robinson: Illegal Use of Hands (Offsetting), Penalty on Justin Hardy: Offensive Holding (Offsetting) (no play)",3.050,3.050
2,8:16,1,10,DET 38,10,3,Matt Ryan pass complete short left to Taylor Gabriel for 11 yards (tackle by D.J. Hayden),3.050,3.780
2,7:43,1,10,DET 27,10,3,Matt Ryan pass complete short right to Andre Roberts for 12 yards (tackle by Glover Quin and D.J. Hayden),3.780,4.580
2,7:04,1,10,DET 15,10,3,Devonta Freeman left end for 2 yards (tackle by Tahir Whitehead),4.580,4.280
2,6:21,2,8,DET 13,10,3,Devonta Freeman middle for 9 yards (tackle by Miles Killebrew),4.280,6.280
2,5:46,1,4,DET 4,10,3,Devonta Freeman middle for 3 yards (tackle by Nick Bellore),6.280,5.910
2,5:04,2,1,DET 1,16,3,"Devonta Freeman middle for 1 yard, touchdown",5.910,7.000
2,5:00,,,DET 15,17,3,Matt Bryant kicks extra point good,0.000,0.000
2,5:00,,,ATL 35,17,3,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
2,5:00,1,10,DET 25,17,3,Matthew Stafford pass complete deep left to Ameer Abdullah for 22 yards (tackle by Ricardo Allen),0.610,2.060
2,4:26,1,10,DET 47,17,3,Ameer Abdullah right end for 3 yards (tackle by De'Vondre Campbell),2.060,1.920
2,3:45,2,7,,17,3,Ameer Abdullah right tackle for 10 yards (tackle by Keanu Neal),1.920,2.920
2,3:00,1,10,ATL 40,17,3,Matthew Stafford pass incomplete deep left intended for Marvin Jones (defended by Robert Alford),2.920,2.370
2,2:53,2,10,ATL 40,17,3,Matthew Stafford pass complete short middle to Golden Tate for 10 yards (tackle by Brian Poole),2.370,3.580
2,2:18,1,10,ATL 30,17,3,Zach Zenner left tackle for no gain (tackle by Keanu Neal),3.580,0.000
2,2:09,,,,,,Timeout #1 by Atlanta Falcons,0.000,-3.030
2,2:09,2,10,ATL 30,17,3,Matthew Stafford pass complete short middle to Darren Fells for 8 yards (tackle by Keanu Neal),3.030,3.400
2,2:00,3,2,ATL 22,17,3,Matthew Stafford pass incomplete short left intended for Theo Riddick,3.400,2.120
2,1:55,4,2,ATL 22,17,6,Matt Prater 40 yard field goal good,2.120,3.000
2,1:50,,,DET 35,17,6,"Jeff Locke kicks off 65 yards, touchback",0.000,-0.610
2,1:50,1,10,ATL 25,17,12,"Matt Ryan pass incomplete short middle intended for Julio Jones is intercepted by Glover Quin at ATL-37 and returned for 37 yards, touchdown",0.610,-7.000
2,,,,ATL 15,17,13,Matt Prater kicks extra point good,,
2,1:41,,,DET 35,17,13,"Jeff Locke kicks off 65 yards, touchback",0.000,-0.610
2,1:41,1,10,ATL 25,17,13,Tevin Coleman middle for 9 yards (tackle by D.J. Hayden),0.610,1.280
2,1:09,2,1,ATL 34,17,13,"Matt Ryan pass incomplete deep left intended for Taylor Gabriel. Penalty on D.J. Hayden: Defensive Holding, 6 yards (no play)",1.280,1.600
2,1:03,1,10,ATL 40,17,13,Matt Ryan pass complete short right to Tevin Coleman for 27 yards (tackle by Charles Washington),1.600,3.380
2,0:54,1,10,DET 33,17,13,"Devonta Freeman left tackle for 3 yards (tackle by Glover Quin). Penalty on Wes Schweitzer: Offensive Holding, 10 yards",3.380,2.920
2,0:48,1,17,DET 40,17,13,Matt Ryan pass incomplete short left intended for Tevin Coleman (defended by A'Shawn Robinson),2.920,1.890
2,0:45,2,17,DET 40,17,13,Matt Ryan pass complete short left to Devonta Freeman for 10 yards (tackle by Tahir Whitehead),1.890,2.540
2,0:39,3,7,DET 30,17,13,Matt Ryan pass incomplete short right intended for Mohamed Sanu (defended by Quandre Diggs),2.540,1.410
2,0:36,4,7,DET 30,20,13,Matt Bryant 48 yard field goal good,1.410,3.000
2,0:31,,,ATL 35,20,13,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
2,0:31,1,10,DET 25,20,13,Matthew Stafford pass incomplete short middle intended for Theo Riddick,0.610,0.060
2,0:27,2,10,DET 25,20,13,Matthew Stafford pass incomplete deep right intended for Kenny Golladay,0.060,-0.620
2,0:19,3,10,DET 25,20,13,Matthew Stafford pass incomplete short right intended for Eric Ebron,-0.620,-1.700
2,0:14,4,10,DET 25,20,13,"Jeff Locke punts 48 yards, fair catch by Andre Roberts",-1.700,-0.740
2,0:07,1,10,ATL 27,20,13,Matt Ryan kneels for -1 yards,0.740,0.060
Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,20,13,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,DET 25,20,13,Matthew Stafford pass incomplete short right intended for Marvin Jones (defended by Desmond Trufant),0.610,0.060
3,14:54,2,10,DET 25,20,13,Ameer Abdullah middle for -1 yards (tackle by Grady Jarrett),0.060,-0.760
3,14:18,3,11,DET 24,20,13,Matthew Stafford sacked by Adrian Clayborn for -8 yards,-0.760,-2.390
3,13:45,4,19,DET 16,20,13,"Jeff Locke punts 52 yards, returned by Andre Roberts for 27 yards (tackle by D.J. Hayden)",-2.390,-2.850
3,13:32,1,10,DET 41,20,13,Matt Ryan pass complete short left to Julio Jones for 11 yards (tackle by Darius Slay),2.850,3.580
3,13:11,1,10,DET 30,20,13,Matt Ryan pass incomplete deep left intended for Julio Jones,3.580,3.030
3,13:04,2,10,DET 30,20,13,Devonta Freeman left tackle for 2 yards (tackle by Glover Quin),3.030,2.610
3,12:23,3,8,DET 28,20,13,Matt Ryan pass complete short middle to Taylor Gabriel for 6 yards (tackle by Miles Killebrew),2.610,2.120
3,11:42,4,2,DET 22,23,13,Matt Bryant 40 yard field goal good,2.120,3.000
3,11:37,,,ATL 35,23,13,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
3,11:37,1,10,DET 25,23,13,Ameer Abdullah right end for 3 yards (tackle by Deion Jones),0.610,0.470
3,11:04,2,7,DET 28,23,13,Matthew Stafford pass complete short right to Theo Riddick for 12 yards (tackle by Brian Poole),0.470,1.600
3,10:28,1,10,DET 40,23,13,Ameer Abdullah middle for no gain (tackle by Grady Jarrett),1.600,1.050
3,9:54,2,10,DET 40,23,13,Matthew Stafford pass complete short left to Ameer Abdullah for 11 yards (tackle by Brian Poole),1.050,2.320
3,9:21,1,10,ATL 49,23,13,"Matthew Stafford pass complete short right to Eric Ebron for 1 yard (tackle by Robert Alford). Penalty on Ricky Wagner: Offensive Holding, 10 yards",2.320,1.730
3,8:55,1,19,DET 42,23,13,Ameer Abdullah middle for 5 yards (tackle by Adrian Clayborn),1.730,1.240
3,8:24,2,14,DET 47,23,13,Matthew Stafford left end for 8 yards (tackle by Brian Poole),1.240,1.620
3,7:37,3,6,ATL 45,23,13,Matthew Stafford pass complete deep right to T.J. Jones for 20 yards (tackle by Robert Alford),1.620,3.910
3,6:58,1,10,ATL 25,23,13,Ameer Abdullah right end for 5 yards (tackle by Deion Jones),3.910,4.040
3,6:14,2,5,ATL 20,23,13,Matthew Stafford pass complete short right to Ameer Abdullah for 6 yards (tackle by Deion Jones),4.040,4.650
3,5:31,1,10,ATL 14,23,13,Zach Zenner middle for 3 yards (tackle by Derrick Shelby),4.650,4.520
3,4:58,2,7,ATL 11,23,19,"Matthew Stafford pass complete short middle to Golden Tate for 11 yards, touchdown",4.520,7.000
3,4:51,,,ATL 15,23,20,Matt Prater kicks extra point good,0.000,0.000
3,4:51,,,DET 35,23,20,"Jeff Locke kicks off 68 yards, returned by Andre Roberts for 16 yards (tackle by D.J. Hayden)",0.000,0.320
3,4:45,1,10,ATL 13,23,20,"Penalty on Ty Sambrailo: False Start, 5 yards (no play)",-0.320,-0.570
3,4:45,1,15,ATL 8,23,20,Tevin Coleman left tackle for 2 yards (tackle by A'Shawn Robinson and Cornelius Washington),-0.570,-1.000
3,4:00,2,13,ATL 10,23,20,Matt Ryan pass complete short right to Julio Jones for 10 yards (tackle by Paul Worrilow),-1.000,-0.590
3,3:13,3,3,ATL 20,23,20,Matt Ryan pass complete short left to Taylor Gabriel for 6 yards (tackle by Darius Slay),-0.590,0.670
3,2:54,1,10,ATL 26,23,20,Matt Ryan pass incomplete short middle intended for Tevin Coleman is intercepted by Darius Slay at ATL-36 and returned for 15 yards,0.670,-4.170
3,2:44,1,10,ATL 21,23,20,Matthew Stafford sacked by Takkarist McKinley for -3 yards. Penalty on Greg Robinson: Offensive Holding (Declined),4.170,3.220
3,2:21,2,13,ATL 24,23,20,Matthew Stafford pass complete short right to Kenny Golladay for 12 yards (tackle by Brian Poole),3.220,4.490
3,1:35,3,1,ATL 12,23,20,Matthew Stafford pass incomplete short right intended for Kenny Golladay (defended by Desmond Trufant),4.490,2.780
3,1:28,4,1,ATL 12,23,20,"Penalty on Jeff Locke: Delay of Game, 5 yards (no play)",2.780,2.340
3,1:28,4,6,ATL 17,23,23,Matt Prater 35 yard field goal good,2.340,3.000
3,1:24,,,DET 35,23,23,"Jeff Locke kicks off 65 yards, touchback",0.000,-0.610
3,1:24,1,10,ATL 25,23,23,Devonta Freeman left end for 8 yards (tackle by Miles Killebrew),0.610,1.140
3,0:48,2,2,ATL 33,23,23,Devonta Freeman left tackle for 11 yards (tackle by Glover Quin and D.J. Hayden),1.140,1.860
3,0:18,1,10,ATL 44,23,23,Devonta Freeman right tackle for 16 yards (tackle by Glover Quin),1.860,2.920
Quarter,Time,Down,ToGo,Location,ATL,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DET 40,29,23,"Matt Ryan pass complete short left to Taylor Gabriel for 40 yards, touchdown",2.920,7.000
4,14:50,,,DET 15,30,23,Matt Bryant kicks extra point good,0.000,0.000
4,14:50,,,ATL 35,30,23,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
4,14:50,1,10,DET 25,30,23,Ameer Abdullah middle for 6 yards (tackle by Joe Vellano and Jack Crawford),0.610,0.870
4,14:15,2,4,DET 31,30,23,Matthew Stafford pass incomplete deep right intended for Golden Tate,0.870,0.170
4,14:07,3,4,DET 31,30,23,Matthew Stafford pass complete short right to Golden Tate for 18 yards (tackle by Keanu Neal and Brian Poole),0.170,2.190
4,13:26,1,10,DET 49,30,23,Ameer Abdullah left end for 11 yards (tackle by Grady Jarrett),2.190,2.920
4,12:42,1,10,ATL 40,30,23,Zach Zenner right tackle for 2 yards (tackle by Brooks Reed),2.920,2.640
4,12:02,2,8,ATL 38,30,23,Matthew Stafford pass incomplete short left intended for Eric Ebron,2.640,1.950
4,11:57,3,8,ATL 38,30,23,Matthew Stafford pass incomplete short middle intended for Golden Tate (defended by Takkarist McKinley),1.950,0.720
4,11:53,4,8,ATL 38,30,26,Matt Prater 57 yard field goal good,0.720,3.000
4,11:48,,,DET 35,30,26,"Jeff Locke kicks off 65 yards, touchback",0.000,-0.610
4,11:48,1,10,ATL 25,30,26,Matt Ryan pass complete short right to Julio Jones for 18 yards (tackle by Quandre Diggs),0.610,1.800
4,11:11,1,10,ATL 43,30,26,Tevin Coleman left end for 11 yards (tackle by A'Shawn Robinson),1.800,2.520
4,10:25,1,10,DET 46,30,26,Matt Ryan pass incomplete deep middle intended for Julio Jones (defended by Darius Slay),2.520,0.000
4,10:17,,,,,,Timeout #1 by Atlanta Falcons,0.000,-1.980
4,10:17,2,10,DET 46,30,26,Tevin Coleman left tackle for 9 yards (tackle by Tahir Whitehead),1.980,2.480
4,9:36,3,1,DET 37,30,26,Devonta Freeman middle for 18 yards (tackle by Charles Washington),2.480,4.310
4,8:54,1,10,DET 19,30,26,Devonta Freeman right tackle for no gain (tackle by A'Shawn Robinson),4.310,3.750
4,8:14,2,10,DET 19,30,26,Matt Ryan pass incomplete short left intended for Mohamed Sanu is intercepted by Darius Slay at DET-8 and returned for 37 yards,3.750,-1.930
4,8:03,1,10,DET 45,30,26,Matthew Stafford pass incomplete short left intended for Marvin Jones (defended by Robert Alford),1.930,1.380
4,7:59,2,10,DET 45,30,26,Ameer Abdullah middle for -4 yards (tackle by Takkarist McKinley),1.380,0.170
4,7:22,3,14,DET 41,30,26,Matthew Stafford pass complete short left to Eric Ebron for 8 yards (tackle by Robert Alford),0.170,-0.130
4,7:00,4,6,DET 49,30,26,Jeff Locke punts 43 yards,-0.130,0.380
4,6:48,1,10,ATL 8,30,26,Devonta Freeman right end for 2 yards (tackle by Haloti Ngata),-0.380,-0.630
4,6:11,2,8,ATL 10,30,26,Matt Ryan pass complete short left to Julio Jones for 13 yards (tackle by Darius Slay),-0.630,0.480
4,5:32,1,10,ATL 23,30,26,Devonta Freeman middle for 2 yards (tackle by Paul Worrilow),0.480,0.200
4,4:49,2,8,ATL 25,30,26,Devonta Freeman left end for 2 yards (tackle by Haloti Ngata),0.200,-0.230
4,4:06,3,6,ATL 27,30,26,Matt Ryan pass complete short middle to Tevin Coleman for 4 yards (tackle by Tahir Whitehead),-0.230,-1.310
4,3:26,4,2,ATL 31,30,26,"Matthew Bosher punts 48 yards, returned by Golden Tate for 10 yards (tackle by Derrick Coleman)",-1.310,-1.000
4,3:15,1,10,DET 31,30,26,Matthew Stafford pass incomplete short right intended for Theo Riddick,1.000,0.460
4,3:10,2,10,DET 31,30,26,Matthew Stafford pass incomplete short left intended for Eric Ebron,0.460,-0.230
4,3:07,3,10,DET 31,30,26,Matthew Stafford pass incomplete deep left intended for Golden Tate (defended by Brian Poole),-0.230,-1.310
4,3:01,4,10,DET 31,30,26,"Jeff Locke punts 47 yards, fair catch by Andre Roberts. Penalty on Don Carey: Unnecessary Roughness, 15 yards",-1.310,-1.400
4,2:52,1,10,ATL 37,30,26,Devonta Freeman middle for 1 yard (tackle by Miles Killebrew),1.400,0.000
4,2:48,,,,,,Timeout #1 by Detroit Lions,0.000,-0.990
4,2:48,2,9,ATL 38,30,26,"Penalty on Devonta Freeman: False Start, 5 yards (no play)",0.990,0.320
4,2:48,2,14,ATL 33,30,26,Matt Ryan pass complete short left to Mohamed Sanu for 2 yards (tackle by Darius Slay),0.320,0.000
4,2:44,,,,,,Timeout #2 by Detroit Lions,0.000,0.100
4,2:44,3,12,ATL 35,30,26,Matt Ryan pass complete short middle to Julio Jones for 11 yards (tackle by Glover Quin),-0.100,0.000
4,2:31,,,,,,Timeout #3 by Detroit Lions,0.000,0.320
4,2:31,4,1,ATL 46,30,26,"Matthew Bosher punts 43 yards, fair catch by Golden Tate",-0.320,0.370
4,2:23,1,10,DET 11,30,26,Matthew Stafford pass complete short right to Golden Tate for 15 yards (tackle by Brian Poole and Ricardo Allen),-0.370,0.670
4,2:00,1,10,DET 26,30,26,Matthew Stafford pass complete deep middle to T.J. Jones for 29 yards (tackle by Ricardo Allen). Penalty on Dontari Poe: Illegal Use of Hands (Declined),0.670,0.000
4,1:48,,,,,,Timeout #2 by Atlanta Falcons,0.000,-2.590
4,1:48,1,10,ATL 45,30,26,Matthew Stafford pass complete short middle to Theo Riddick for 16 yards (tackle by Deion Jones),2.590,3.640
4,1:18,1,10,ATL 29,30,26,Matthew Stafford for 11 yards (tackle by Keanu Neal),3.640,4.370
4,1:10,1,10,ATL 18,30,26,"Matthew Stafford pass complete deep right to Marvin Jones for 16 yards (tackle by Keanu Neal). Penalty on Zac Kerin: Offensive Holding, 10 yards (no play)",4.370,3.710
4,1:02,1,20,ATL 28,30,26,"Matthew Stafford pass incomplete deep right intended for Marvin Jones. Penalty on Marvin Jones: Offensive Pass Interference, 10 yards (no play)",3.710,3.050
4,0:57,1,30,ATL 38,30,26,Matthew Stafford pass incomplete short right intended for Golden Tate (defended by Brian Poole),3.050,1.130
4,0:52,2,30,ATL 38,30,26,"Matthew Stafford pass incomplete deep left intended for Marvin Jones is intercepted by Robert Alford at ATL-0. Penalty on Desmond Trufant: Defensive Holding, 5 yards (no play)",1.130,0.000
4,0:40,,,,,,Timeout #3 by Atlanta Falcons,0.000,-3.380
4,0:40,1,10,ATL 33,30,26,Matthew Stafford pass complete short right to T.J. Jones for 14 yards,3.380,4.310
4,0:34,1,10,ATL 19,30,26,Matthew Stafford pass incomplete short middle intended for Eric Ebron,4.310,3.750
4,0:29,2,10,ATL 19,30,26,Matthew Stafford pass incomplete short right intended for Eric Ebron,3.750,3.030
4,0:24,3,10,ATL 19,30,26,"Matthew Stafford pass incomplete deep right intended for Marvin Jones. Penalty on Desmond Trufant: Defensive Pass Interference, 18 yards (no play)",3.030,6.970
4,0:19,1,1,ATL 1,30,26,Matthew Stafford pass incomplete short left intended for Theo Riddick,6.970,5.910
4,0:15,2,1,ATL 1,30,26,Matthew Stafford pass incomplete short left intended for Kenny Golladay,5.910,5.170
4,0:12,3,1,ATL 1,30,26,Matthew Stafford pass complete short left to Golden Tate for no gain,5.170,3.550
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
