Quarter,Time,Down,ToGo,Location,JAX,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,JAX 20,0,0,"Chad Henne pass complete short right to Clay Harbor for 5 yards. Clay Harbor fumbles, recovered by Danny Noble at JAX-27",0.280,0.680
1,14:03,2,3,JAX 27,0,0,Chad Henne pass complete short right to Marcedes Lewis for 4 yards (tackle by D'Qwell Jackson),0.680,1.000
1,13:30,1,10,JAX 31,0,0,Maurice Jones-Drew left guard for no gain (tackle by Desmond Bryant and Paul Kruger),1.000,0.460
1,12:56,2,10,JAX 31,0,0,Chad Henne pass incomplete short right intended for Maurice Jones-Drew (defended by Buster Skrine),0.460,-0.230
1,12:51,3,10,JAX 31,0,0,Chad Henne pass complete short middle to Cecil Shorts for 7 yards (tackle by Armonty Bryant),-0.230,-0.850
1,12:13,4,3,JAX 38,0,0,"Bryan Anger punts 47 yards, returned by Jordan Poyer for 38 yards (tackle by Carson Tinker)",-0.850,-2.460
1,11:58,1,10,JAX 47,0,0,Brandon Weeden pass complete deep right to Josh Gordon for 42 yards (tackle by Dwayne Gratz),2.460,6.060
1,11:34,1,5,JAX 5,0,0,Chris Ogbonnaya up the middle for 4 yards (tackle by Josh Evans),6.060,5.910
1,10:57,2,1,JAX 1,0,6,"Willis McGahee right guard for 1 yard, touchdown",5.910,7.000
1,10:57,,,JAX 2,0,7,Billy Cundiff kicks extra point good,0.000,0.000
1,10:57,,,CLE 35,0,7,"Billy Cundiff kicks off 67 yards, returned by Jordan Todman for 22 yards (tackle by Brandon Magee)",0.000,-0.280
1,10:47,1,10,JAX 20,0,7,Chad Henne pass complete short right to Mike Brown for 7 yards (tackle by Buster Skrine),0.280,0.680
1,10:19,2,3,JAX 27,0,7,Maurice Jones-Drew left guard for 2 yards (tackle by D'Qwell Jackson),0.680,0.230
1,9:45,3,1,JAX 29,0,7,Ace Sanders for 4 yards (tackle by T.J. Ward),0.230,1.140
1,9:16,1,10,JAX 33,0,7,Chad Henne pass complete short left to Ace Sanders for 9 yards (tackle by Buster Skrine),1.140,1.810
1,8:45,2,1,JAX 42,0,7,Jordan Todman left tackle for 4 yards (tackle by Tashaun Gipson),1.810,1.990
1,8:15,1,10,JAX 46,0,7,Maurice Jones-Drew for 18 yards (tackle by Tashaun Gipson),1.990,3.180
