Quarter,Time,Tm,Detail,JAX,CLE
1.0,10:51,Browns,Willis McGahee 1 yard rush (Billy Cundiff kick),0,7
,7:04,Jaguars,Clay Harbor 18 yard pass from Chad Henne (Josh Scobee kick),7,7
2.0,12:03,Browns,Josh Gordon 21 yard pass from Brandon Weeden (Billy Cundiff kick),7,14
,1:19,Jaguars,Marcedes Lewis 8 yard pass from Maurice Jones-Drew (Josh Scobee kick),14,14
,0:48,Jaguars,Josh Scobee 44 yard field goal,17,14
,0:00,Jaguars,Josh Scobee 36 yard field goal,20,14
3.0,9:44,Browns,Greg Little 4 yard pass from Brandon Weeden (Billy Cundiff kick),20,21
4.0,7:42,Jaguars,"Safety, Penalty on Brandon Weeden enforced in end zone for a Safety.",22,21
,4:14,Jaguars,Josh Scobee 25 yard field goal,25,21
,3:55,Browns,Josh Gordon 95 yard pass from Brandon Weeden (Billy Cundiff kick),25,28
,0:40,Jaguars,Cecil Shorts 20 yard pass from Chad Henne (Josh Scobee kick),32,28
