Unnamed: 0,SEA,ARI
First Downs,19,18
Rush-Yds-TDs,34-171-2,28-92-1
Cmp-Att-Yd-TD-INT,19-26-172-0-0,15-27-180-1-0
Sacked-Yards,2-12,1-9
Net Pass Yards,160,171
Total Yards,331,263
Fumbles-Lost,3-0,2-1
Turnovers,0,1
Penalties-Yards,8-57,5-38
Third Down Conv.,0-10,5-12
Fourth Down Conv.,1-2,0-0
Time of Possession,31:46,28:14
