Unnamed: 0,SFO,CAR
First Downs,12,20
Rush-Yds-TDs,17-59-0,44-166-1
Cmp-Att-Yd-TD-INT,14-29-171-2-4,17-26-169-2-2
Sacked-Yards,6-35,2-12
Net Pass Yards,136,157
Total Yards,195,323
Fumbles-Lost,4-2,0-0
Turnovers,6,2
Penalties-Yards,7-55,7-65
Third Down Conv.,3-11,9-18
Fourth Down Conv.,0-1,0-0
Time of Possession,21:38,38:22
