Quarter,Time,Tm,Detail,SFO,CAR
1.0,1:29,Panthers,John Kasay 19 yard field goal,0,3
2.0,10:03,Panthers,Dante Rosario 5 yard pass from Vinny Testaverde (John Kasay kick),0,10
,6:32,Panthers,Richard Marshall 73 yard interception return (John Kasay kick),0,17
3.0,11:19,49ers,Arnaz Battle 20 yard pass from Trent Dilfer (Joe Nedney kick),7,17
,8:29,49ers,Delanie Walker 21 yard pass from Trent Dilfer (Joe Nedney kick),14,17
,4:52,Panthers,DeShaun Foster 1 yard rush (John Kasay kick),14,24
4.0,10:26,Panthers,Jeff King 1 yard pass from Vinny Testaverde (John Kasay kick),14,31
