Quarter,Time,Tm,Detail,TEN,HOU
1,12:30,Texans,Garrett Graham 1 yard pass from Matt Schaub (Randy Bullock kick),0,7
,5:10,Titans,Kendall Wright 6 yard pass from Jake Locker (Rob Bironas kick),7,7
2,0:00,Titans,Rob Bironas 47 yard field goal,10,7
3,7:46,Texans,Owen Daniels 12 yard pass from Matt Schaub (Randy Bullock kick),10,14
4,13:26,Texans,"Safety, Chris Johnson tackled in the end zone by Joe Mays for a Safety.",10,16
,6:37,Titans,Delanie Walker 10 yard pass from Jake Locker (Rob Bironas kick),17,16
,4:59,Titans,Alterraun Verner 23 yard interception return (Rob Bironas kick),24,16
,1:53,Texans,Arian Foster 1 yard rush (Arian Foster run),24,24
OT,10:32,Texans,DeAndre Hopkins 3 yard pass from Matt Schaub,24,30
