Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Raheem Mostert,SFO,10,57,2,4,22,2.2,35,3.5,4,2.5
Tevin Coleman,SFO,5,11,0,,3,0.6,8,1.6,0,
Matt Breida,SFO,4,16,0,,4,1.0,12,3.0,3,1.3
Jimmy Garoppolo,SFO,2,4,0,1,4,2.0,0,0.0,0,
Deebo Samuel,SFO,2,33,1,1,22,11.0,11,5.5,0,
George Kittle,SFO,1,7,0,0,0,0.0,7,7.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Marshawn Lynch,SEA,12,34,1,2,20,1.7,14,1.2,0,
Travis Homer,SEA,10,62,0,3,42,4.2,20,2.0,0,
Russell Wilson,SEA,8,29,0,1,23,2.9,6,0.8,0,
