Unnamed: 0,SFO,SEA
First Downs,18,27
Rush-Yds-TDs,24-128-3,30-125-1
Cmp-Att-Yd-TD-INT,18-22-285-0-0,25-40-233-2-0
Sacked-Yards,2-15,1-10
Net Pass Yards,270,223
Total Yards,398,348
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,8-57,5-29
Third Down Conv.,4-8,8-14
Fourth Down Conv.,0-0,1-3
Time of Possession,27:04,32:56
