Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SEA 25,0,0,"Russell Wilson pass incomplete short right intended for Tyrone Swoopes. Penalty on Dre Greenlaw: Defensive Holding, 5 yards (no play)",0.610,0.940
1,14:52,1,10,SEA 30,0,0,Russell Wilson pass incomplete short left intended for Jaron Brown,0.940,0.390
1,14:47,2,10,SEA 30,0,0,Travis Homer left guard for 1 yard (tackle by Nick Bosa),0.390,-0.160
1,14:03,3,9,SEA 31,0,0,Russell Wilson pass incomplete short left intended for Jaron Brown,-0.160,-1.310
1,13:59,4,9,SEA 31,0,0,"Michael Dickson punts 54 yards, returned by Richie James for 6 yards (tackle by Marquise Blair)",-1.310,-0.340
1,13:49,1,10,SFO 21,0,0,Tevin Coleman left end for 4 yards (tackle by Mychal Kendricks),0.340,0.340
1,13:07,2,6,SFO 25,0,0,Jimmy Garoppolo sacked by Quinton Jefferson for -6 yards,0.340,-1.220
1,12:21,3,12,SFO 19,0,0,"Penalty on Jadeveon Clowney: Neutral Zone Infraction, 5 yards (no play)",-1.220,-0.490
1,11:58,3,7,SFO 24,0,0,Jimmy Garoppolo pass complete short middle to George Kittle for 11 yards (tackle by Bobby Wagner),-0.490,1.270
1,11:18,1,10,SFO 35,0,0,Jimmy Garoppolo pass complete short left to Emmanuel Sanders for 8 yards (tackle by Bradley McDougald),1.270,1.800
1,10:36,2,2,SFO 43,0,0,Jimmy Garoppolo pass complete short left to Emmanuel Sanders for 12 yards (tackle by Shaquill Griffin),1.800,2.590
1,9:57,1,10,SEA 45,0,0,Raheem Mostert left end for 17 yards (tackle by Tre Flowers),2.590,3.710
1,9:15,1,10,SEA 28,0,0,Raheem Mostert left tackle for 1 yard (tackle by K.J. Wright and Ezekiel Ansah),3.710,3.300
1,8:37,2,9,SEA 27,0,0,Jimmy Garoppolo sacked by Tre Flowers for -9 yards,3.300,1.420
1,7:51,3,18,SEA 36,0,0,Jimmy Garoppolo pass complete short left to George Kittle for 7 yards (tackle by Tre Flowers),1.420,1.500
1,7:41,4,11,SEA 29,3,0,Robbie Gould 47 yard field goal good,1.500,3.000
1,7:35,,,SFO 35,3,0,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
1,7:35,1,10,SEA 25,3,0,Russell Wilson pass incomplete short right,0.610,0.060
1,7:28,2,10,SEA 25,3,0,Travis Homer left tackle for 2 yards (tackle by Dre Greenlaw),0.060,-0.360
1,6:50,3,8,SEA 27,3,0,Russell Wilson pass complete short left to D.K. Metcalf for 10 yards (tackle by Ahkello Witherspoon),-0.360,1.400
1,6:27,1,10,SEA 37,3,0,Travis Homer right guard for 2 yards (tackle by Marcell Harris),1.400,1.130
1,5:50,2,8,SEA 39,3,0,Marshawn Lynch right tackle for 5 yards (tackle by Marcell Harris),1.130,1.090
1,5:08,3,3,SEA 44,3,0,Russell Wilson pass incomplete short middle intended for D.K. Metcalf (defended by Ahkello Witherspoon),1.090,-0.460
1,5:05,4,3,SEA 44,3,0,Michael Dickson punts 50 yards downed by Ugochukwu Amadi,-0.460,0.380
1,4:56,1,10,SFO 6,3,0,Tevin Coleman right tackle for no gain (tackle by Ezekiel Ansah),-0.380,-0.780
1,4:09,2,10,SFO 6,3,0,Tevin Coleman right tackle for 5 yards (tackle by Bobby Wagner and Jarran Reed),-0.780,-0.840
1,3:26,3,5,SFO 11,3,0,Jimmy Garoppolo pass complete short left to Emmanuel Sanders for 5 yards (tackle by Tre Flowers),-0.840,-0.140
1,3:00,1,10,SFO 16,3,0,Tevin Coleman left tackle for 3 yards (tackle by Mychal Kendricks and Jarran Reed),-0.140,-0.180
1,2:20,2,7,SFO 19,3,0,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 30 yards (tackle by Bobby Wagner),-0.180,2.190
1,1:44,1,10,SFO 49,3,0,Jimmy Garoppolo pass complete short left to George Kittle for 15 yards (tackle by Mychal Kendricks),2.190,3.180
1,1:11,1,10,SEA 36,3,0,Raheem Mostert right end for 6 yards (tackle by Shaquill Griffin),3.180,3.450
1,0:32,2,4,SEA 30,9,0,"Deebo Samuel left end for 30 yards, touchdown",3.450,7.000
1,0:24,,,SEA 15,10,0,Robbie Gould kicks extra point good,0.000,0.000
1,0:24,,,SFO 35,10,0,"Mitch Wishnowsky kicks off 65 yards, returned by Tyler Lockett for 17 yards (tackle by Raheem Mostert)",0.000,-0.060
1,0:18,1,10,SEA 17,10,0,Russell Wilson left tackle for 4 yards (tackle by Marcell Harris),-0.060,0.080
Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,SEA 21,10,0,Marshawn Lynch left tackle for 2 yards (tackle by Sheldon Day),0.080,-0.490
2,14:20,3,4,SEA 23,10,0,Russell Wilson pass complete short right to Travis Homer for 6 yards (tackle by K'Waun Williams),-0.490,0.870
2,13:46,1,10,SEA 29,10,0,Travis Homer left end for 8 yards (tackle by Marcell Harris),0.870,1.410
2,13:04,2,2,SEA 37,10,0,Russell Wilson pass complete short right to Travis Homer for no gain (tackle by Dre Greenlaw and Marcell Harris),1.410,0.700
2,12:15,3,2,SEA 37,10,0,Russell Wilson sacked by DeForest Buckner for -10 yards,0.700,-1.570
2,11:38,4,12,SEA 27,10,0,"Michael Dickson punts 46 yards, returned by Richie James for no gain (tackle by Nick Bellore). Penalty on D.J. Reed: Offensive Holding, 10 yards",-1.570,0.060
2,11:27,1,10,SFO 17,10,0,Jimmy Garoppolo pass complete short right to Deebo Samuel for 19 yards (tackle by Delano Hill),-0.060,1.330
2,10:45,1,10,SFO 36,10,0,Raheem Mostert right tackle for 2 yards (tackle by K.J. Wright and Bobby Wagner),1.330,1.060
2,10:09,2,8,SFO 38,10,0,Jimmy Garoppolo pass complete short left to George Kittle for 15 yards (tackle by Delano Hill),1.060,2.460
2,9:33,1,10,SEA 47,10,0,Jimmy Garoppolo pass incomplete deep left intended for Emmanuel Sanders,2.460,1.910
2,9:28,2,10,SEA 47,10,0,Matt Breida up the middle for 9 yards (tackle by Quinton Jefferson),1.910,2.410
2,8:48,3,1,SEA 38,10,0,Jimmy Garoppolo up the middle for 2 yards (tackle by Jarran Reed and Bobby Wagner),2.410,3.180
2,8:05,1,10,SEA 36,10,0,"Jimmy Garoppolo pass complete short right to Emmanuel Sanders for 5 yards (tackle by Shaquill Griffin). Penalty on Emmanuel Sanders: Illegal Shift, 5 yards (no play)",3.180,2.850
2,7:42,1,15,SEA 41,10,0,Jimmy Garoppolo pass complete short middle to George Kittle for 26 yards (tackle by K.J. Wright),2.850,4.580
2,6:58,1,10,SEA 15,10,0,Jimmy Garoppolo pass incomplete short right intended for Raheem Mostert,4.580,3.950
2,6:54,2,10,SEA 15,10,0,Jimmy Garoppolo pass incomplete short middle intended for Tevin Coleman,3.950,3.100
