Quarter,Time,Tm,Detail,SFO,SEA
1.0,7:35,49ers,Robbie Gould 47 yard field goal,3,0
,0:24,49ers,Deebo Samuel 30 yard rush (Robbie Gould kick),10,0
2.0,5:44,49ers,Robbie Gould 30 yard field goal,13,0
3.0,5:46,Seahawks,Tyler Lockett 14 yard pass from Russell Wilson (Jason Myers kick),13,7
,3:25,49ers,Raheem Mostert 2 yard rush (pass failed),19,7
4.0,9:55,Seahawks,Marshawn Lynch 1 yard rush (Jason Myers kick),19,14
,5:51,49ers,Raheem Mostert 13 yard rush (Robbie Gould kick),26,14
,3:36,Seahawks,D.K. Metcalf 14 yard pass from Russell Wilson (Jason Myers kick),26,21
