Quarter,Time,Tm,Detail,CHI,MIN
1,1:06,Bears,Robbie Gould 30 yard field goal,3,0
2,7:27,Vikings,Cordarrelle Patterson 33 yard rush (Blair Walsh kick),3,7
,2:47,Bears,Robbie Gould 40 yard field goal,6,7
3,14:08,Bears,Alshon Jeffery 80 yard pass from Josh McCown (Robbie Gould kick),13,7
,7:08,Vikings,Blair Walsh 32 yard field goal,13,10
,5:15,Bears,Alshon Jeffery 46 yard pass from Josh McCown (Robbie Gould kick),20,10
4,7:41,Vikings,Greg Jennings 8 yard pass from Matt Cassel (Blair Walsh kick),20,17
,0:20,Vikings,Blair Walsh 30 yard field goal,20,20
OT,1:43,Vikings,Blair Walsh 34 yard field goal,20,23
