Unnamed: 0,CHI,MIN
First Downs,20,28
Rush-Yds-TDs,25-135-0,40-246-1
Cmp-Att-Yd-TD-INT,23-36-355-2-0,23-41-283-1-1
Sacked-Yards,4-10,5-33
Net Pass Yards,345,250
Total Yards,480,496
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,6-51,6-60
Third Down Conv.,2-11,4-17
Fourth Down Conv.,0-0,3-3
Time of Possession,34:08,39:09
