Quarter,Time,Tm,Detail,MIA,IND
1.0,7:49,Dolphins,Olindo Mare 28 yard field goal,3,0
2.0,12:40,Colts,Dan Klecko 2 yard pass from Peyton Manning (Adam Vinatieri kick),3,7
,1:31,Dolphins,Olindo Mare 38 yard field goal,6,7
,0:19,Colts,Peyton Manning 11 yard rush (Adam Vinatieri kick),6,14
,0:00,Colts,Adam Vinatieri 46 yard field goal,6,17
3.0,13:17,Dolphins,Olindo Mare 42 yard field goal,9,17
,7:37,Colts,Adam Vinatieri 34 yard field goal,9,20
,2:11,Dolphins,Olindo Mare 27 yard field goal,12,20
4.0,12:38,Dolphins,Olindo Mare 34 yard field goal,15,20
,10:07,Colts,Marvin Harrison 27 yard pass from Peyton Manning (Adam Vinatieri kick),15,27
,3:11,Dolphins,Randy McMichael 6 yard pass from Cleo Lemon (Olindo Mare kick),22,27
