Unnamed: 0,MIA,IND
First Downs,19,24
Rush-Yds-TDs,26-150-0,31-117-1
Cmp-Att-Yd-TD-INT,18-36-210-1-1,22-37-282-2-0
Sacked-Yards,2-6,0-0
Net Pass Yards,204,282
Total Yards,354,399
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,3-20,5-45
Third Down Conv.,8-15,8-14
Fourth Down Conv.,0-0,0-0
Time of Possession,29:12,30:48
