Quarter,Time,Down,ToGo,Location,MIA,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 75 yards, touchback",0.000,0.280
1,15:00,1,10,IND 20,0,0,"Penalty on Ryan Diem: False Start, 5 yards (no play)",0.280,-0.310
1,15:00,1,15,IND 15,0,0,Peyton Manning pass incomplete short middle intended for Dominic Rhodes,-0.310,-1.070
1,14:55,2,15,IND 15,0,0,Peyton Manning pass incomplete short middle intended for Dallas Clark,-1.070,-1.860
1,14:52,3,15,IND 15,0,0,Peyton Manning pass incomplete deep left intended for Reggie Wayne,-1.860,-2.440
1,14:46,4,15,IND 15,0,0,"Hunter Smith punts 56 yards, returned by Wes Welker for 8 yards (tackle by Keith O'Neil)",-2.440,-1.400
1,14:36,1,10,MIA 37,0,0,Ronnie Brown right end for -2 yards (tackle by Dwight Freeney and Robert Mathis),1.400,0.590
1,14:01,2,12,MIA 35,0,0,Ronnie Brown right end for 3 yards (tackle by Nick Harper),0.590,0.300
1,13:23,3,9,MIA 38,0,0,Cleo Lemon pass complete short right to Marty Booker for 13 yards (tackle by Nick Harper),0.300,2.320
1,12:46,1,10,IND 49,0,0,Cleo Lemon pass complete short left to Marty Booker for 13 yards (tackle by Jason David),2.320,3.180
1,12:07,1,10,IND 36,0,0,Ronnie Brown left tackle for 9 yards (tackle by Antoine Bethea and Cato June),3.180,3.850
1,11:31,2,1,IND 27,0,0,Ronnie Brown right tackle for 2 yards (tackle by Cato June),3.850,3.910
1,10:50,1,10,IND 25,0,0,Cleo Lemon pass incomplete short left intended for Justin Peelle (defended by Jason David),3.910,3.360
1,10:44,2,10,IND 25,0,0,Cleo Lemon pass complete short left to Chris Chambers for 9 yards (tackle by Jason David),3.360,4.060
1,10:07,3,1,IND 16,0,0,Ronnie Brown middle for 5 yards (tackle by Antoine Bethea),4.060,4.840
1,9:37,1,10,IND 11,0,0,Ronnie Brown middle for no gain (tackle by Rob Morris and Jason David),4.840,4.140
1,8:53,2,10,IND 11,0,0,Cleo Lemon middle for 6 yards (tackle by Gary Brackett and Marlin Jackson),4.140,4.440
1,8:09,3,4,IND 5,0,0,Cleo Lemon sacked by Anthony McFarland for -5 yards,4.440,2.760
1,7:52,4,9,IND 10,3,0,Olindo Mare 28 yard field goal good,2.760,3.000
1,7:49,,,MIA 30,3,0,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
1,7:49,1,10,IND 20,3,0,Joseph Addai left end for -2 yards (tackle by Renaldo Hill and Zach Thomas),0.280,-0.630
1,7:07,2,12,IND 18,3,0,Peyton Manning pass complete short middle to Marvin Harrison for 12 yards (tackle by Channing Crowder),-0.630,0.940
1,6:30,1,10,IND 30,3,0,Joseph Addai right end for 1 yard (tackle by Kevin Carter),0.940,0.530
1,5:53,2,9,IND 31,3,0,Peyton Manning pass complete short left to Dallas Clark for 8 yards (tackle by Channing Crowder and Renaldo Hill),0.530,0.890
1,5:06,3,1,IND 39,3,0,Joseph Addai left tackle for 4 yards (tackle by Yeremiah Bell and Donnie Spragan),0.890,1.800
1,4:19,1,10,IND 43,3,0,Peyton Manning pass incomplete deep right intended for Marvin Harrison,1.800,1.250
1,4:13,2,10,IND 43,3,0,Joseph Addai middle for 8 yards (tackle by Michael Lehan and Zach Thomas),1.250,1.620
1,3:29,3,2,MIA 49,3,0,Peyton Manning pass complete short middle to Marvin Harrison for 12 yards (tackle by Zach Thomas),1.620,3.120
1,2:46,1,10,MIA 37,3,0,Joseph Addai middle for -2 yards (tackle by Fred Evans),3.120,2.300
1,2:03,2,12,MIA 39,3,0,Peyton Manning pass complete short middle to Marvin Harrison for 4 yards (tackle by Michael Lehan),2.300,2.150
1,1:46,3,8,MIA 35,3,0,"Joseph Addai middle for 6 yards (tackle by Vonnie Holliday). Penalty on MIA: Defensive 12 On-field, 5 yards (no play)",2.150,2.810
1,1:23,3,3,MIA 30,3,0,Peyton Manning pass complete short left to Joseph Addai for 5 yards (tackle by Travis Daniels),2.810,3.910
1,0:49,1,10,MIA 25,3,0,Joseph Addai middle for 6 yards (tackle by Jason Taylor and Channing Crowder),3.910,4.200
1,0:12,2,4,MIA 19,3,0,Joseph Addai right end for 2 yards (tackle by Vonnie Holliday and Yeremiah Bell),4.200,3.850
Quarter,Time,Down,ToGo,Location,MIA,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,MIA 17,3,0,Peyton Manning pass complete short middle to Dallas Clark for 4 yards (tackle by Renaldo Hill),3.850,4.710
2,14:14,1,10,MIA 13,3,0,Peyton Manning pass incomplete short middle intended for Dallas Clark,4.710,4.050
2,14:10,2,10,MIA 13,3,0,Peyton Manning pass complete short middle to Reggie Wayne for 12 yards (tackle by Zach Thomas),4.050,6.970
2,13:28,1,1,MIA 1,3,0,Joseph Addai right tackle for -1 yards (tackle by Zach Thomas and Kevin Carter),6.970,5.720
2,12:47,2,2,MIA 2,3,6,"Peyton Manning pass complete short right to Dan Klecko for 2 yards, touchdown",5.720,7.000
2,12:47,,,MIA 2,3,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,12:40,,,IND 30,3,7,"Adam Vinatieri kicks off 67 yards, returned by Wes Welker for 46 yards (tackle by Kelvin Hayden)",0.000,2.190
