Unnamed: 0,DEN,KAN
First Downs,21,20
Rush-Yds-TDs,22-61-0,28-147-2
Cmp-Att-Yd-TD-INT,26-45-256-3-1,16-25-191-0-2
Sacked-Yards,3-18,5-24
Net Pass Yards,238,167
Total Yards,299,314
Fumbles-Lost,0-0,3-3
Turnovers,1,5
Penalties-Yards,8-85,9-60
Third Down Conv.,6-16,0-7
Fourth Down Conv.,0-1,0-0
Time of Possession,31:01,28:59
