Unnamed: 0,DAL,ATL
First Downs,18,22
Rush-Yds-TDs,21-107-1,34-132-1
Cmp-Att-Yd-TD-INT,20-30-176-0-0,22-29-215-2-1
Sacked-Yards,8-50,1-11
Net Pass Yards,126,204
Total Yards,233,336
Fumbles-Lost,2-2,0-0
Turnovers,2,1
Penalties-Yards,5-54,5-35
Third Down Conv.,5-11,7-13
Fourth Down Conv.,0-1,0-1
Time of Possession,27:54,32:06
