Quarter,Time,Down,ToGo,Location,ATL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Bradley Pinion kicks off 67 yards, returned by Greg Dortch for 22 yards (tackle by DeMarcco Hellams and DeAngelo Malone)",0.000,0.280
1,14:52,1,10,ARI 20,0,0,Kyler Murray pass incomplete short left intended for Marquise Brown,0.280,-0.270
1,14:49,2,10,ARI 20,0,0,James Conner up the middle for 1 yard (tackle by Kentavius Street),-0.270,-0.820
1,14:13,3,9,ARI 21,0,0,Kyler Murray pass incomplete short right,-0.820,-1.960
1,14:05,4,9,ARI 21,0,0,"Blake Gillikin punts 49 yards, returned by Bijan Robinson for 8 yards (tackle by Antonio Hamilton)",-1.960,-1.470
1,13:55,1,10,ATL 38,0,0,Bijan Robinson right end for 3 yards (tackle by Jalen Thompson),1.470,1.330
1,13:21,2,7,ATL 41,0,0,Bijan Robinson left tackle for 3 yards (tackle by Kevin Strong),1.330,1.020
1,12:48,3,4,ATL 44,0,0,Taylor Heinicke pass incomplete short left intended for Kyle Pitts,1.020,-0.460
1,12:43,4,4,ATL 44,0,0,Bradley Pinion punts 52 yards out of bounds,-0.460,0.380
1,12:36,1,10,ARI 4,0,0,Kyler Murray pass complete short left to Trey McBride for 6 yards (tackle by Kaden Elliss),-0.380,-0.340
1,12:00,2,4,ARI 10,0,0,James Conner left end for 11 yards (tackle by Richie Grant),-0.340,0.340
1,11:25,1,10,ARI 21,0,0,James Conner right tackle for 1 yard (tackle by Ta'Quon Graham and Jessie Bates),0.340,-0.070
1,10:46,2,9,ARI 22,0,0,Kyler Murray pass incomplete short left intended for Zach Pascal (defended by AJ Terrell),-0.070,-0.760
1,10:41,3,9,ARI 22,0,0,Kyler Murray pass complete short middle to Rondale Moore for 8 yards (tackle by Jessie Bates),-0.760,-1.370
1,10:05,4,1,ARI 30,0,0,James Conner right end for 4 yards (tackle by Jessie Bates),-1.370,1.200
1,9:27,1,10,ARI 34,0,0,Kyler Murray pass complete short middle to Geoff Swaim for 6 yards (tackle by Jessie Bates),1.200,1.470
1,8:47,2,4,ARI 40,0,0,Kyler Murray pass complete short left to Trey McBride for 9 yards (tackle by Richie Grant),1.470,2.190
1,7:57,1,10,ARI 49,0,0,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",2.190,1.860
1,7:41,1,15,ARI 44,0,0,James Conner up the middle for 3 yards (tackle by Nathan Landman and Mike Hughes),1.860,1.380
1,7:00,2,12,ARI 47,0,0,"Kyler Murray pass complete deep right to Trey McBride for 19 yards (tackle by Richie Grant). Penalty on Richie Grant: Defensive Pass Interference, 15 yards (declined)",1.380,3.310
1,6:32,1,10,ATL 34,0,0,Kyler Murray pass complete short right to Michael Wilson for 16 yards (tackle by Richie Grant),3.310,4.370
1,5:46,1,10,ATL 18,0,0,"Penalty on Hjalte Froholdt: False Start, 5 yards (accepted) (no play)",4.370,4.040
1,5:32,1,15,ATL 23,0,0,Kyler Murray pass incomplete deep left intended for Michael Wilson (defended by AJ Terrell),4.040,3.150
1,5:28,2,15,ATL 23,0,0,"Kyler Murray scrambles left end for no gain (tackle by Jessie Bates). Penalty on Hjalte Froholdt: Offensive Holding, 10 yards (accepted) (no play)",3.150,1.800
1,5:00,2,25,ATL 33,0,0,Kyler Murray pass incomplete short middle intended for Michael Wilson (defended by Timmy Horne),1.800,1.160
1,4:55,3,25,ATL 33,0,0,Kyler Murray pass incomplete short left intended for Marquise Brown (defended by Kentavius Street),1.160,1.150
1,4:53,4,25,ATL 33,0,3,Matt Prater 51 yard field goal good,1.150,3.000
1,4:48,,,ARI 35,0,3,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,4:48,1,10,ATL 25,0,3,Taylor Heinicke pass complete short right to Kyle Pitts for 8 yards (tackle by Marco Wilson),0.610,1.140
1,4:12,2,2,ATL 33,0,3,Tyler Allgeier up the middle for 7 yards (tackle by Budda Baker and Josh Woods),1.140,1.600
1,3:33,1,10,ATL 40,0,3,Taylor Heinicke pass incomplete short left intended for Bijan Robinson (defended by Dennis Gardeck),1.600,1.050
1,3:26,2,10,ATL 40,0,3,Cordarrelle Patterson left tackle for 2 yards (tackle by Kyzir White),1.050,0.630
1,2:46,3,8,ATL 42,0,3,"Taylor Heinicke pass incomplete short right intended for Cordarrelle Patterson (defended by Budda Baker). Penalty on Dennis Gardeck: Roughing the Passer, 15 yards (accepted) (no play)",0.630,2.720
1,2:42,1,10,ARI 43,0,3,Bijan Robinson left tackle for 3 yards (tackle by Josh Woods and Dante Stills),2.720,2.580
1,2:09,2,7,ARI 40,0,3,Bijan Robinson up the middle for 17 yards (tackle by BJ Ojulari),2.580,4.040
1,1:30,1,10,ARI 23,0,3,Tyler Allgeier right end for 8 yards (tackle by Jalen Thompson and Budda Baker),4.040,4.750
1,0:57,2,2,ARI 15,0,3,Tyler Allgeier right end for -1 yards (tackle by Kevin Strong and Jalen Thompson),4.750,3.850
1,0:07,3,3,ARI 16,0,3,Bijan Robinson left tackle for 10 yards (tackle by Kyzir White),3.850,5.830
