Quarter,Time,Tm,Detail,ATL,ARI
1.0,4:48,Cardinals,Matt Prater 51 yard field goal,0,3
2.0,13:27,Falcons,Scott Miller 2 yard pass from Taylor Heinicke (Younghoe Koo kick),7,3
,10:32,Cardinals,Matt Prater 46 yard field goal,7,6
,4:07,Falcons,Bijan Robinson 5 yard rush (Younghoe Koo kick),14,6
,0:10,Cardinals,Kyler Murray 6 yard rush (pass failed),14,12
3.0,9:16,Cardinals,Matt Prater 56 yard field goal,14,15
,5:18,Falcons,Younghoe Koo 36 yard field goal,17,15
,0:19,Cardinals,Clayton Tune 1 yard rush (Matt Prater kick),17,22
4.0,2:33,Falcons,Desmond Ridder 9 yard rush (pass failed),23,22
,0:00,Cardinals,Matt Prater 23 yard field goal,23,25
