Unnamed: 0,ATL,ARI
First Downs,20,20
Rush-Yds-TDs,41-184-2,26-122-2
Cmp-Att-Yd-TD-INT,12-21-94-1-0,19-32-249-0-1
Sacked-Yards,3-24,2-19
Net Pass Yards,70,230
Total Yards,254,352
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,4-43,11-112
Third Down Conv.,7-14,3-11
Fourth Down Conv.,1-2,1-1
Time of Possession,31:42,28:18
