Unnamed: 0,HOU,JAX
First Downs,9,14
Rush-Yds-TDs,31-88-1,24-105-0
Cmp-Att-Yd-TD-INT,18-28-127-1-0,20-40-198-0-1
Sacked-Yards,0-0,7-48
Net Pass Yards,127,150
Total Yards,215,255
Fumbles-Lost,3-1,1-0
Turnovers,1,1
Penalties-Yards,7-80,4-30
Third Down Conv.,2-15,5-19
Fourth Down Conv.,0-0,0-1
Time of Possession,28:21,31:39
