Quarter,Time,Tm,Detail,HOU,JAX
1.0,13:38,Jaguars,Ashton Youboty 38 yard defensive fumble return (Josh Scobee kick),0,7
,6:15,Texans,Arian Foster 1 yard rush (Neil Rackers kick),7,7
2.0,10:41,Jaguars,Josh Scobee 21 yard field goal,7,10
,6:24,Texans,Joel Dreessen 20 yard pass from Matt Leinart (Neil Rackers kick),14,10
,4:13,Texans,Neil Rackers 53 yard field goal,17,10
,0:02,Texans,Neil Rackers 33 yard field goal,20,10
4.0,4:15,Jaguars,Josh Scobee 35 yard field goal,20,13
