#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,JAX 20,3,0:43,3,Punt
2,1,11:50,JAX 8,4,1:36,22,Punt
3,1,6:15,JAX 20,6,3:27,14,Punt
4,1,0:30,JAX 20,10,4:49,77,Field Goal
5,2,8:39,JAX 28,3,1:26,-3,Punt
6,2,6:24,JAX 24,3,0:34,0,Interception
7,2,4:13,JAX 32,5,2:28,31,Missed FG
8,3,14:07,JAX 20,6,3:35,14,Punt
9,3,8:37,JAX 24,7,3:13,30,Punt
10,3,3:14,JAX 32,3,1:01,7,Punt
11,4,14:35,JAX 22,3,0:54,-3,Punt
12,4,12:16,JAX 2,6,3:15,19,Punt
13,4,7:03,JAX 33,8,2:48,50,Field Goal
14,4,3:04,JAX 26,7,1:50,34,Downs
