Quarter,Time,Tm,Detail,BAL,OAK
1.0,12:45,Ravens,Vince Mayle 2 yard rush (Justin Tucker kick),7,0
,11:10,Ravens,Jimmy Smith 47 yard fumble return (Justin Tucker kick),14,0
,5:07,Raiders,Giorgio Tavecchio 32 yard field goal,14,3
2.0,11:57,Ravens,Javorius Allen 1 yard rush (Justin Tucker kick),21,3
,9:11,Raiders,Michael Crabtree 41 yard pass from EJ Manuel (Giorgio Tavecchio kick),21,10
,5:18,Ravens,Justin Tucker 22 yard field goal,24,10
3.0,3:46,Raiders,Marshawn Lynch 3 yard rush (Giorgio Tavecchio kick),24,17
4.0,13:10,Ravens,Justin Tucker 21 yard field goal,27,17
,2:24,Ravens,Justin Tucker 44 yard field goal,30,17
