Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,1,10,BAL 25,0,0,Joe Flacco pass complete deep left to Mike Wallace for 52 yards (tackle by Reggie Nelson),0.610,4.040
1,14:46,1,10,OAK 23,0,0,Terrance West left tackle for 4 yards (tackle by Mario Edwards),4.040,4.050
1,13:58,2,6,OAK 19,0,0,Terrance West middle for 13 yards (tackle by Reggie Nelson),4.050,5.830
1,13:30,1,6,OAK 6,0,0,Javorius Allen middle for 4 yards (tackle by Reggie Nelson and Nicholas Morrow),5.830,5.720
1,12:51,2,2,OAK 2,6,0,"Vince Mayle left end for 2 yards, touchdown",5.720,7.000
1,12:45,,,OAK 15,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,12:45,,,BAL 35,7,0,"Justin Tucker kicks off 64 yards, returned by Cordarrelle Patterson for 31 yards (tackle by Kamalei Correa)",0.000,-1.070
1,12:38,1,10,OAK 32,7,0,EJ Manuel pass complete short left to Michael Crabtree for 3 yards (tackle by Eric Weddle),1.070,0.930
1,12:05,2,7,OAK 35,7,0,Marshawn Lynch left guard for 7 yards (tackle by Eric Weddle and Terrell Suggs),0.930,1.730
1,11:22,1,10,OAK 42,13,0,"EJ Manuel pass complete short left to Jared Cook for 3 yards (tackle by Patrick Onwuasor). Jared Cook fumbles (forced by Patrick Onwuasor), recovered by Jimmy Smith at OAK-47 and returned for 47 yards, touchdown",1.730,-7.000
1,,,,OAK 15,14,0,Justin Tucker kicks extra point good,,
1,11:10,,,BAL 35,14,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
1,11:10,1,10,OAK 25,14,0,Marshawn Lynch left guard for 9 yards (tackle by Za'Darius Smith and Tony Jefferson),0.610,1.280
1,10:34,2,1,OAK 34,14,0,Jalen Richard for 14 yards (tackle by Chris Wormley),1.280,2.130
1,10:03,1,10,OAK 48,14,0,Marshawn Lynch right tackle for 6 yards (tackle by C.J. Mosley and Za'Darius Smith),2.130,2.390
1,9:16,2,4,BAL 46,14,0,Jalen Richard left guard for 1 yard (tackle by Willie Henry),2.390,1.820
1,8:40,3,3,BAL 45,14,0,EJ Manuel pass complete short right to Jared Cook for 5 yards (tackle by C.J. Mosley),1.820,2.920
1,8:05,1,10,BAL 40,14,0,Jalen Richard left tackle for 6 yards (tackle by Lardarius Webb and Marlon Humphrey),2.920,3.180
1,7:25,2,4,BAL 34,14,0,Jalen Richard middle for 5 yards (tackle by Patrick Onwuasor),3.180,3.640
1,6:42,1,10,BAL 29,14,0,EJ Manuel pass complete short left to Michael Crabtree for 17 yards (tackle by Tony Jefferson),3.640,4.780
1,6:02,1,10,BAL 12,14,0,Marshawn Lynch right tackle for -2 yards (tackle by Matt Judon),4.780,3.790
1,5:20,2,12,BAL 14,14,0,EJ Manuel pass incomplete short right intended for Jared Cook,3.790,3.060
1,5:15,3,12,BAL 14,14,0,EJ Manuel pass incomplete short left intended for Amari Cooper,3.060,0.000
1,5:11,,,,,,Timeout #1 by Oakland Raiders,0.000,-2.510
1,5:11,4,12,BAL 14,14,3,Giorgio Tavecchio 32 yard field goal good,2.510,3.000
1,5:07,,,OAK 35,14,3,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
1,5:07,1,10,BAL 25,14,3,Alex Collins right tackle for 5 yards (tackle by Karl Joseph),0.610,0.740
1,4:47,2,5,BAL 30,14,3,Alex Collins left tackle for 25 yards (tackle by Karl Joseph),0.740,2.590
1,4:06,1,10,OAK 45,14,3,Javorius Allen middle for -1 yards (tackle by Mario Edwards),2.590,1.910
1,3:28,2,11,OAK 46,14,3,Joe Flacco pass complete short middle to Jeremy Maclin for 14 yards (tackle by Marquel Lee),1.910,3.450
1,2:48,1,10,OAK 32,14,3,Joe Flacco pass complete short middle to Javorius Allen for 1 yard (tackle by Marquel Lee),3.450,3.040
1,2:12,2,9,OAK 31,14,3,Alex Collins right end for 4 yards (tackle by Justin Ellis and Karl Joseph),3.040,2.870
1,1:28,3,5,OAK 27,14,3,Joe Flacco pass complete short right to Jeremy Maclin for 6 yards (tackle by T.J. Carrie),2.870,4.170
1,0:57,1,10,OAK 21,14,3,Javorius Allen right guard for 3 yards (tackle by Reggie Nelson),4.170,4.040
1,0:16,2,7,OAK 18,14,3,Javorius Allen middle for 2 yards (tackle by Karl Joseph),4.040,3.630
Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,OAK 16,14,3,Javorius Allen left end for 5 yards (tackle by Bruce Irvin and Reggie Nelson),3.630,4.840
2,14:16,1,10,OAK 11,14,3,Joe Flacco pass complete short right to Nick Boyle for 9 yards (tackle by Cory James and T.J. Carrie),4.840,5.850
2,13:35,2,1,OAK 2,14,3,Joe Flacco pass incomplete short left intended for Nick Boyle,5.850,5.120
2,13:29,3,1,OAK 2,14,3,Javorius Allen left tackle for 1 yard (tackle by Tyrell Adams),5.120,6.970
2,12:50,1,1,OAK 1,14,3,Javorius Allen left tackle for no gain (tackle by Marquel Lee and Denico Autry),6.970,5.910
2,12:03,2,1,OAK 1,20,3,"Javorius Allen middle for 1 yard, touchdown",5.910,7.000
2,11:57,,,OAK 15,21,3,Justin Tucker kicks extra point good,0.000,0.000
2,11:57,,,BAL 35,21,3,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,11:57,1,10,OAK 25,21,3,EJ Manuel pass incomplete short middle intended for Marshawn Lynch (defended by Willie Henry),0.610,0.060
2,11:52,2,10,OAK 25,21,3,Marshawn Lynch middle for 6 yards (tackle by Za'Darius Smith),0.060,0.170
2,11:15,3,4,OAK 31,21,3,EJ Manuel pass complete short left to Jared Cook for 17 yards (tackle by Lardarius Webb),0.170,2.130
2,10:45,1,10,OAK 48,21,3,Jalen Richard left tackle for no gain (tackle by Michael Pierce),2.130,1.580
2,10:03,2,10,OAK 48,21,3,Jamize Olawale right guard for 11 yards (tackle by Eric Weddle),1.580,2.850
2,9:20,1,10,BAL 41,21,9,"EJ Manuel pass complete deep right to Michael Crabtree for 41 yards, touchdown",2.850,7.000
2,9:11,,,BAL 15,21,10,Giorgio Tavecchio kicks extra point good,0.000,0.000
2,9:11,,,OAK 35,21,10,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
2,9:11,1,10,BAL 25,21,10,Joe Flacco pass complete short right to Jeremy Maclin for 8 yards (tackle by Dexter McDonald),0.610,1.140
2,8:46,2,2,BAL 33,21,10,Alex Collins middle for 4 yards (tackle by Khalil Mack),1.140,1.400
2,8:10,1,10,BAL 37,21,10,Alex Collins right tackle for 1 yard (tackle by Khalil Mack),1.400,0.990
2,7:32,2,9,BAL 38,21,10,Joe Flacco pass complete deep left to Mike Wallace for 54 yards (tackle by Sean Smith),0.990,5.370
2,6:48,1,8,OAK 8,21,10,Javorius Allen middle for 1 yard (tackle by Marquel Lee),5.370,4.760
2,6:15,2,7,OAK 7,21,10,Joe Flacco pass complete short right to Ben Watson for -2 yards (tackle by Karl Joseph and Khalil Mack),4.760,3.360
2,5:30,3,9,OAK 9,21,10,"Joe Flacco pass incomplete short left intended for Ben Watson. Penalty on Khalil Mack: Defensive Offside, 4 yards (no play)",3.360,4.260
2,5:24,3,5,OAK 5,21,10,Joe Flacco pass incomplete short middle intended for Ben Watson,4.260,3.010
2,5:21,4,5,OAK 5,24,10,Justin Tucker 22 yard field goal good,3.010,3.000
2,5:18,,,BAL 35,24,10,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
2,5:18,1,10,OAK 25,24,10,"Marshawn Lynch left end for 1 yard (tackle by Matt Judon). Penalty on Cordarrelle Patterson: Offensive Holding, 10 yards (no play)",0.610,-0.410
2,4:46,1,20,OAK 15,24,10,EJ Manuel pass complete short middle to Marshawn Lynch for 10 yards (tackle by Patrick Onwuasor and C.J. Mosley),-0.410,0.060
2,4:04,2,10,OAK 25,24,10,Jalen Richard left guard for 1 yard (tackle by Willie Henry),0.060,-0.490
2,3:23,3,9,OAK 26,24,10,EJ Manuel sacked by Tony Jefferson for -8 yards,-0.490,-2.240
2,2:45,4,17,OAK 18,24,10,"Marquette King punts 45 yards, fair catch by Michael Campanaro",-2.240,-1.400
2,2:37,1,10,BAL 37,24,10,Javorius Allen left guard for 3 yards (tackle by Marquel Lee and Darius Latham),1.400,1.260
2,2:00,2,7,BAL 40,24,10,Joe Flacco pass complete short middle to Javorius Allen for 4 yards (tackle by Cory James and James Cowser),1.260,1.090
2,1:16,3,3,BAL 44,24,10,Joe Flacco pass complete short middle to Jeremy Maclin for 10 yards (tackle by T.J. Carrie),1.090,2.520
2,0:50,1,10,OAK 46,24,10,"Penalty on Mike Wallace: False Start, 5 yards (no play)",2.520,0.000
2,0:50,,,,,,Timeout #1 by Baltimore Ravens,0.000,-2.190
2,0:50,1,15,BAL 49,24,10,Joe Flacco pass incomplete deep middle intended for Jeremy Maclin,2.190,1.300
2,0:46,2,15,BAL 49,24,10,Joe Flacco pass incomplete short right intended for Breshad Perriman (defended by Dexter McDonald),1.300,0.630
2,0:43,3,15,BAL 49,24,10,Joe Flacco pass complete short middle to Michael Campanaro for 8 yards (tackle by T.J. Carrie),0.630,0.000
2,0:35,,,,,,Timeout #2 by Oakland Raiders,0.000,0.000
2,0:35,,,,,,Timeout #2 by Baltimore Ravens,0.000,-0.400
2,0:35,4,7,OAK 43,24,10,"Sam Koch punts 38 yards, out of bounds",0.400,0.380
2,0:28,1,10,OAK 5,24,10,Jamize Olawale left tackle for 2 yards (tackle by Willie Henry and Patrick Onwuasor),-0.380,-0.630
Quarter,Time,Down,ToGo,Location,BAL,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,24,10,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,OAK 25,24,10,EJ Manuel pass incomplete short left intended for Seth Roberts (defended by Matt Judon),0.610,0.060
3,14:57,2,10,OAK 25,24,10,Marshawn Lynch middle for -1 yards (tackle by Willie Henry),0.060,-0.760
3,14:18,3,11,OAK 24,24,10,EJ Manuel pass incomplete,-0.760,-1.770
3,14:11,4,11,OAK 24,24,10,"Marquette King punts 46 yards, returned by Michael Campanaro for 10 yards (tackle by Erik Harris)",-1.770,-1.600
3,14:02,1,10,BAL 40,24,10,Alex Collins right end for -3 yards (tackle by T.J. Carrie and Justin Ellis),1.600,0.650
3,13:17,2,13,BAL 37,24,10,Joe Flacco pass complete short left to Jeremy Maclin for -3 yards (tackle by Sean Smith and Tyrell Adams),0.650,-0.430
3,12:33,3,16,BAL 34,24,10,Alex Collins left tackle for 6 yards (tackle by Denico Autry),-0.430,-0.720
3,12:00,4,10,BAL 40,24,10,"Sam Koch punts 33 yards, out of bounds",-0.720,-0.740
3,11:53,1,10,OAK 27,24,10,Marshawn Lynch right guard for 4 yards (tackle by Eric Weddle and Patrick Onwuasor),0.740,0.740
3,11:16,2,6,OAK 31,24,10,Marshawn Lynch left tackle for no gain (tackle by Terrell Suggs and Eric Weddle),0.740,0.040
3,10:31,3,6,OAK 31,24,10,EJ Manuel sacked by Anthony Levine for -8 yards,0.040,-1.830
3,9:49,4,14,OAK 23,24,10,"Marquette King punts 62 yards, returned by Michael Campanaro for 9 yards (tackle by Jon Condo)",-1.830,-0.540
3,9:36,1,10,BAL 24,24,10,Alex Collins right tackle for no gain (tackle by Tyrell Adams and Denico Autry),0.540,0.000
3,9:18,2,10,BAL 24,24,10,Joe Flacco pass incomplete short right intended for Javorius Allen (defended by Denico Autry),0.000,-0.690
3,9:13,3,10,BAL 24,24,10,Joe Flacco pass complete short middle to Breshad Perriman for 2 yards (tackle by Nicholas Morrow and Karl Joseph),-0.690,-1.630
3,8:40,4,8,BAL 26,24,10,"Sam Koch punts 46 yards, returned by Jalen Richard for 7 yards (tackle by Javorius Allen)",-1.630,-1.270
3,8:28,1,10,OAK 35,24,10,EJ Manuel pass incomplete deep left intended for Michael Crabtree,1.270,0.720
3,8:23,2,10,OAK 35,24,10,Jalen Richard middle for 5 yards (tackle by C.J. Mosley and Za'Darius Smith),0.720,0.700
3,7:45,3,5,OAK 40,24,10,EJ Manuel pass complete deep left to Seth Roberts for 22 yards (tackle by Tony Jefferson),0.700,3.050
,,,,,,,"BAL challenged the runner was in bounds ruling, and the original play was overturned.",,
3,7:32,1,10,BAL 38,24,10,EJ Manuel left end for 5 yards (tackle by Eric Weddle),3.050,3.180
3,6:56,2,5,BAL 33,24,10,EJ Manuel pass complete short left to Michael Crabtree for 9 yards (tackle by Marlon Humphrey),3.180,3.970
3,6:30,1,10,BAL 24,24,10,EJ Manuel pass incomplete short middle intended for Jared Cook,3.970,3.430
3,6:27,2,10,BAL 24,24,10,Jalen Richard middle for 3 yards (tackle by Matt Judon),3.430,3.140
3,5:50,3,7,BAL 21,24,10,EJ Manuel pass complete short left to Michael Crabtree for 7 yards (tackle by Marlon Humphrey),3.140,4.650
3,5:03,1,10,BAL 14,24,10,EJ Manuel pass incomplete short left intended for Michael Crabtree,4.650,4.000
3,4:58,2,10,BAL 14,24,10,Marshawn Lynch middle for 1 yard (tackle by C.J. Mosley and Willie Henry),4.000,3.260
3,4:19,3,9,BAL 13,24,10,EJ Manuel middle for 10 yards (tackle by C.J. Mosley and Eric Weddle),3.260,6.510
3,3:50,1,3,BAL 3,24,16,"Marshawn Lynch middle for 3 yards, touchdown",6.510,7.000
3,3:46,,,BAL 15,24,17,Giorgio Tavecchio kicks extra point good,0.000,0.000
3,3:46,,,OAK 35,24,17,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,0.000
3,3:46,,,,,,Timeout #1 by Baltimore Ravens,0.000,-0.610
3,3:46,1,10,BAL 25,24,17,Joe Flacco pass complete short middle to Javorius Allen for 8 yards (tackle by Denico Autry),0.610,1.140
3,3:08,2,2,BAL 33,24,17,Joe Flacco pass complete short right to Javorius Allen for -1 yards (tackle by James Cowser),1.140,0.300
3,2:21,3,3,BAL 32,24,17,Joe Flacco pass complete short middle to Breshad Perriman for 13 yards (tackle by Dexter McDonald),0.300,1.930
