Quarter,Time,Tm,Detail,MIA,NYJ
1.0,5:50,Jets,Doug Brien 30 yard field goal,0,3
,0:38,Dolphins,Jay Fiedler 9 yard rush (Olindo Mare kick),7,3
2.0,7:45,Dolphins,Randy McMichael 8 yard pass from Jay Fiedler (Olindo Mare kick),14,3
,0:17,Dolphins,Ricky Williams 2 yard rush (Olindo Mare kick),21,3
4.0,12:42,Jets,Santana Moss 32 yard pass from Vinny Testaverde (Doug Brien kick),21,10
