Quarter,Time,Down,ToGo,Location,STL,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,STL 20,0,0,Todd Gurley left guard for 2 yards (tackle by Carlos Dunlap and Rey Maualuga),0.280,0.000
1,14:26,2,8,STL 22,0,0,Nick Foles pass complete short right to Tavon Austin for 7 yards (tackle by Dre Kirkpatrick),0.000,0.230
1,13:49,3,1,STL 29,0,0,Todd Gurley right end for -3 yards (tackle by George Iloka),0.230,-1.630
1,13:19,4,4,STL 26,0,0,Johnny Hekker punts 37 yards,-1.630,-1.400
1,13:06,1,10,CIN 37,0,0,Jeremy Hill left guard for 15 yards (tackle by Marcus Roberson and Rodney McLeod),1.400,2.390
1,12:25,1,10,STL 48,0,0,Giovani Bernard right tackle for 2 yards (tackle by Akeem Ayers),2.390,2.120
1,11:55,2,8,STL 46,0,0,Andy Dalton pass complete short middle to Tyler Eifert for 15 yards (tackle by T.J. McDonald),2.120,3.510
1,11:24,1,10,STL 31,0,0,Jeremy Hill right tackle for 3 yards (tackle by Akeem Ayers),3.510,3.370
1,10:50,2,7,STL 28,0,0,Andy Dalton pass complete short right to Marvin Jones for 4 yards (tackle by Marcus Roberson),3.370,3.370
1,10:04,2,7,STL 28,0,0,Timeout #1 by Cincinnati Bengals,3.370,3.200
1,10:04,3,3,STL 24,0,0,Andy Dalton pass complete short middle to A.J. Green for 14 yards (tackle by Marcus Roberson and James Laurinaitis),3.200,4.910
1,9:23,1,10,STL 10,0,6,"Andy Dalton pass complete short left to A.J. Green for 10 yards, touchdown",4.910,7.000
1,9:23,,,STL 10,0,7,Mike Nugent kicks extra point good,0.000,0.000
1,9:23,,,CIN 35,0,7,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,9:18,1,10,STL 20,0,7,Nick Foles pass incomplete short right intended for Jared Cook,0.280,-0.270
1,9:13,2,10,STL 20,0,7,Nick Foles pass incomplete short left intended for Kenny Britt,-0.270,-0.960
1,9:09,3,10,STL 20,0,7,Nick Foles pass complete short middle to Jared Cook for 16 yards (tackle by Vincent Rey and George Iloka),-0.960,1.330
1,8:34,1,10,STL 36,0,7,Tavon Austin right end for 2 yards (tackle by Dre Kirkpatrick),1.330,1.060
1,8:01,2,8,STL 38,0,7,Nick Foles pass complete short left to Tavon Austin for 7 yards (tackle by Domata Peko),1.060,1.060
1,7:27,2,8,STL 38,0,7,Timeout #2 by Cincinnati Bengals,1.060,1.290
1,7:27,3,1,STL 45,0,7,Nick Foles right end for 2 yards (tackle by A.J. Hawk and Vontaze Burfict),1.290,2.060
1,6:47,1,10,STL 47,0,7,Todd Gurley left end for 4 yards (tackle by Vontaze Burfict),2.060,2.060
1,6:02,2,6,CIN 49,0,7,Todd Gurley middle for -2 yards (tackle by Geno Atkins),2.060,1.090
1,5:23,3,8,STL 49,0,7,Nick Foles pass complete short middle to Brian Quick for 5 yards (tackle by Adam Jones). Penalty on Jared Cook: Illegal Motion (Declined),1.090,0.200
1,5:06,4,3,CIN 46,0,7,"Penalty on Maurice Alexander: False Start, 5 yards (no play)",0.200,-0.130
1,5:06,4,8,STL 49,0,7,"Penalty on C.B. Bryant: False Start, 5 yards (no play)",-0.130,-0.460
1,4:51,4,13,STL 44,0,7,"Johnny Hekker punts 56 yards, touchback",-0.460,-0.280
1,4:41,1,10,CIN 20,0,7,Andy Dalton pass complete short left to A.J. Green for 2 yards (tackle by Janoris Jenkins),0.280,0.000
1,4:18,2,8,CIN 22,0,7,Jeremy Hill right guard for 3 yards (tackle by Mark Barron),0.000,-0.300
1,3:35,3,5,CIN 25,0,7,Andy Dalton pass incomplete short right intended for Tyler Eifert (defended by Rodney McLeod),-0.300,-1.700
1,3:29,4,5,CIN 25,0,7,"Kevin Huber punts 47 yards, returned by Tavon Austin for 9 yards (tackle by Shawn Williams). Penalty on Shawn Williams: Unnecessary Roughness, 15 yards",-1.700,-2.390
1,3:15,1,10,CIN 48,0,7,Tre Mason right tackle for -2 yards (tackle by Geno Atkins),2.390,1.580
1,2:37,2,12,,0,7,Nick Foles pass complete short right to Tre Mason for 3 yards (tackle by Dre Kirkpatrick),1.580,1.290
1,2:13,3,9,CIN 47,0,7,Nick Foles pass incomplete short middle intended for Kenny Britt (defended by Dre Kirkpatrick),1.290,0.130
1,2:08,4,9,CIN 47,0,7,"Johnny Hekker punts 35 yards, fair catch by Brandon Tate",0.130,0.350
1,1:59,1,10,CIN 12,0,7,Andy Dalton pass incomplete short middle intended for A.J. Green (defended by Eugene Sims),-0.350,-0.780
1,1:56,2,10,CIN 12,0,7,Giovani Bernard right guard for no gain (tackle by Michael Brockers and T.J. McDonald),-0.780,-1.420
1,1:22,3,10,CIN 12,0,7,Andy Dalton pass complete short middle to Giovani Bernard for 6 yards (tackle by Mark Barron). Penalty on Kevin Zeitler: Illegal Block Above the Waist (Declined),-1.420,-2.240
1,1:03,4,4,CIN 18,0,7,"Kevin Huber punts 51 yards, returned by Tavon Austin for -1 yards (tackle by Shawn Williams). Penalty on Chase Reynolds: Running Into the Kicker, 5 yards (no play)",-2.240,0.480
1,0:48,1,10,CIN 23,0,7,Giovani Bernard right guard for 3 yards (tackle by James Laurinaitis),0.480,0.340
1,0:18,2,7,CIN 26,0,7,Andy Dalton pass complete deep middle to Ryan Hewitt for 21 yards (tackle by Rodney McLeod),0.340,2.060
Quarter,Time,Down,ToGo,Location,STL,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CIN 47,0,7,Andy Dalton pass complete short right to Mohamed Sanu for 8 yards (tackle by Akeem Ayers),2.060,2.600
2,14:24,2,2,STL 45,0,7,Giovani Bernard left tackle for -1 yards (tackle by T.J. McDonald),2.600,1.750
2,13:48,3,3,STL 46,0,7,Andy Dalton pass complete short right to Tyler Eifert for 3 yards (tackle by T.J. McDonald),1.750,2.720
2,13:02,1,10,STL 43,0,7,Andy Dalton left end for 5 yards (tackle by Akeem Ayers),2.720,2.850
2,12:25,2,5,STL 38,0,7,Marvin Jones left end for 30 yards (tackle by Mark Barron and Rodney McLeod),2.850,5.370
2,11:39,1,8,STL 8,0,7,Giovani Bernard right guard for 2 yards (tackle by Akeem Ayers),5.370,4.950
2,11:00,2,6,STL 6,0,7,Giovani Bernard right tackle for 3 yards (tackle by Rodney McLeod and Aaron Donald),4.950,4.950
2,10:22,2,6,STL 6,0,7,Timeout #3 by Cincinnati Bengals,4.950,4.950
2,10:22,2,6,STL 6,0,7,Timeout #1 by Los Angeles Rams,4.950,4.720
2,10:22,3,3,STL 3,0,7,Andy Dalton pass incomplete short right intended for Jake Fisher (defended by Daren Bates). Penalty on Clint Boling: Offensive Holding (Declined),4.720,3.040
2,10:14,4,3,STL 3,0,10,Mike Nugent 21 yard field goal good,3.040,3.000
2,10:14,,,CIN 35,0,10,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
2,10:10,1,10,STL 20,0,10,Nick Foles pass complete short right to Jared Cook for 7 yards (tackle by Vontaze Burfict),0.280,0.680
2,9:44,2,3,STL 27,0,10,Tavon Austin right end for 60 yards (tackle by Dre Kirkpatrick),0.680,4.710
2,9:13,1,10,CIN 13,0,10,Todd Gurley right guard for 8 yards (tackle by Brandon Thompson and Domata Peko),4.710,5.540
2,8:34,2,2,CIN 5,6,10,"Tavon Austin right end for 5 yards, touchdown",5.540,7.000
2,8:34,,,CIN 5,7,10,Zach Hocker kicks extra point good,0.000,0.000
