Unnamed: 0,STL,CIN
First Downs,19,19
Rush-Yds-TDs,17-94-1,31-140-0
Cmp-Att-Yd-TD-INT,36-53-259-0-3,21-28-236-3-1
Sacked-Yards,1-8,0-0
Net Pass Yards,251,236
Total Yards,345,376
Fumbles-Lost,0-0,1-0
Turnovers,3,1
Penalties-Yards,7-45,3-35
Third Down Conv.,6-15,3-10
Fourth Down Conv.,1-3,0-1
Time of Possession,29:53,30:07
