Quarter,Time,Down,ToGo,Location,CLE,NOR,Detail,EPB,EPA
1,9:15,3,8,NOR 22,0,0,Tyrod Taylor pass complete short right to Duke Johnson for 1 yard (tackle by Sheldon Rankins and Demario Davis),3.010,2.060
1,8:35,4,7,NOR 21,3,0,Zane Gonzalez 39 yard field goal good,2.060,3.000
1,8:29,,,CLE 35,3,0,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
1,8:29,1,10,NOR 25,3,0,Alvin Kamara left guard for 2 yards (tackle by Chris Smith),0.610,0.330
1,7:53,2,8,NOR 27,3,0,Drew Brees pass complete short right to Alvin Kamara for 10 yards (tackle by Jamie Collins and Damarious Randall),0.330,1.400
1,7:20,1,10,NOR 37,3,0,Drew Brees pass complete deep right to Tre'Quan Smith for 18 yards (tackle by Damarious Randall),1.400,2.590
1,6:40,1,10,CLE 45,3,0,Alvin Kamara right guard for 1 yard (tackle by Trevon Coley),2.590,2.180
1,6:02,2,9,CLE 44,3,0,Drew Brees pass complete short right to Alvin Kamara for 8 yards (tackle by Denzel Ward and Joe Schobert),2.180,2.540
1,5:17,3,1,CLE 36,3,0,Alvin Kamara right guard for 2 yards (tackle by James Burgess and Jabrill Peppers),2.540,3.310
1,4:34,1,10,CLE 34,3,0,Drew Brees pass complete short middle to Alvin Kamara for 7 yards (tackle by Denzel Ward and T.J. Carrie),3.310,3.720
1,3:52,2,3,CLE 27,3,0,"Drew Brees pass incomplete deep left intended for Austin Carr (defended by T.J. Carrie). Penalty on T.J. Carrie: Defensive Pass Interference, 25 yards (no play)",3.720,6.740
1,3:46,1,2,CLE 2,3,0,Drew Brees pass incomplete short right intended for Ben Watson,6.740,5.720
1,3:42,2,2,CLE 2,3,0,Alvin Kamara right guard for no gain (tackle by Chris Smith),5.720,4.950
1,3:02,3,2,CLE 2,3,0,"Drew Brees pass complete short middle to Alvin Kamara for 2 yards. Penalty on Josh Hill: Offensive Holding (Declined) . Penalty on Tre'Quan Smith: Offensive Holding, 10 yards (no play)",4.950,3.100
1,2:57,3,12,CLE 12,3,0,Drew Brees pass incomplete short middle intended for Michael Thomas (defended by Damarious Randall),3.100,2.630
1,2:52,4,12,CLE 12,3,3,Wil Lutz 31 yard field goal good,2.630,3.000
1,2:47,,,NOR 35,3,3,"Wil Lutz kicks off 72 yards, returned by Jabrill Peppers for no gain (tackle by Kurt Coleman)",0.000,0.280
1,2:43,1,10,CLE 20,3,3,Carlos Hyde right tackle for 1 yard (tackle by Marcus Davenport and Demario Davis),0.280,-0.130
1,2:01,2,9,CLE 21,3,3,Carlos Hyde left tackle for 3 yards (tackle by Marshon Lattimore and Demario Davis),-0.130,-0.430
1,1:21,3,6,CLE 24,3,3,"Tyrod Taylor pass complete short middle to Rashard Higgins for 7 yards (tackle by Marshon Lattimore). Rashard Higgins fumbles, ball out of bounds at CLE-31 (forced by Marshon Lattimore)",-0.430,1.000
1,0:58,1,10,CLE 31,3,3,Duke Johnson left guard for 1 yard (tackle by Marcus Davenport and Manti Te'o),1.000,0.600
1,0:19,2,9,CLE 32,3,3,Carlos Hyde right guard for 4 yards (tackle by Kurt Coleman),0.600,0.430
Quarter,Time,Down,ToGo,Location,CLE,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,CLE 36,3,3,Tyrod Taylor sacked by Sheldon Rankins for -1 yards,0.430,-1.040
2,14:30,4,6,CLE 35,3,3,"Britton Colquitt punts 46 yards, returned by Tommylee Lewis for no gain (tackle by Briean Boddy-Calhoun)",-1.040,-0.150
2,14:22,1,10,NOR 19,3,3,Mike Gillislee right guard for 1 yard (tackle by Jamie Collins),0.150,-0.200
2,13:43,2,9,NOR 20,3,3,"Drew Brees pass incomplete short left intended for Michael Thomas (defended by Terrance Mitchell). Penalty on Terrance Mitchell: Illegal Contact, 5 yards (no play)",-0.200,0.610
2,13:36,1,10,NOR 25,3,3,Drew Brees pass complete short left to Michael Thomas for 2 yards (tackle by Terrance Mitchell),0.610,0.330
2,12:59,2,8,NOR 27,3,3,Alvin Kamara right tackle for 3 yards (tackle by T.J. Carrie),0.330,0.040
2,12:14,3,5,NOR 30,3,3,Drew Brees pass complete short right to Michael Thomas for 15 yards (tackle by Denzel Ward),0.040,1.930
2,11:32,1,10,NOR 45,3,3,Mike Gillislee left tackle for 4 yards (tackle by Joe Schobert),1.930,1.920
2,10:52,2,6,NOR 49,3,3,Drew Brees pass incomplete deep left intended for Ted Ginn (defended by Damarious Randall),1.920,1.220
2,10:46,3,6,NOR 49,3,3,"Drew Brees pass complete short left to Ted Ginn for -3 yards (tackle by Terrance Mitchell). Ted Ginn fumbles (forced by Terrance Mitchell), recovered by Terrance Mitchell at NO-46 (tackle by Ted Ginn)",1.220,-2.520
2,10:39,1,10,NOR 46,3,3,Carlos Hyde right tackle for 3 yards (tackle by Sheldon Rankins and Ken Crawley),2.520,2.380
2,10:04,2,7,NOR 43,3,3,Tyrod Taylor pass complete short left to Darren Fells for 6 yards (tackle by Manti Te'o and A.J. Klein),2.380,2.480
2,9:24,3,1,NOR 37,3,3,Tyrod Taylor pass incomplete deep left intended for David Njoku,2.480,0.790
2,9:17,4,1,NOR 37,3,3,Duke Johnson right guard for -1 yards (tackle by Ken Crawley),0.790,-1.470
2,9:12,1,10,NOR 38,3,3,"Mike Gillislee right tackle for 4 yards (tackle by Damarious Randall). Penalty on Michael Thomas: Offensive Holding, 10 yards",1.470,1.070
2,8:49,1,16,NOR 32,3,3,Drew Brees pass complete deep left to Michael Thomas for 25 yards (tackle by Jamie Collins),1.070,2.720
2,8:13,1,10,CLE 43,3,3,Drew Brees pass complete short left to Alvin Kamara for 14 yards (tackle by Briean Boddy-Calhoun),2.720,3.640
2,7:38,1,10,CLE 29,3,3,Mike Gillislee right tackle for 4 yards (tackle by Carl Davis and Joe Schobert),3.640,3.640
2,6:59,2,6,CLE 25,3,3,Drew Brees pass complete short left to Alvin Kamara for 7 yards (tackle by T.J. Carrie),3.640,4.370
2,6:16,1,10,CLE 18,3,3,Drew Brees pass complete short left to Zach Line for 4 yards (tackle by Terrance Mitchell),4.370,4.430
2,5:42,2,6,CLE 14,3,3,Jonathan Williams right guard for -1 yards (tackle by Trevon Coley and Joe Schobert),4.430,3.460
2,4:56,3,7,CLE 15,3,3,Drew Brees sacked by Larry Ogunjobi for -11 yards,3.460,1.740
2,4:21,4,18,CLE 26,3,3,Wil Lutz 44 yard field goal no good,1.740,-1.200
2,4:16,1,10,CLE 34,3,3,Tyrod Taylor pass complete short middle to Darren Fells for 9 yards (tackle by Manti Te'o and Demario Davis),1.200,1.870
2,3:44,2,1,CLE 43,3,3,Tyrod Taylor pass complete short right to Jarvis Landry for 14 yards (tackle by Marcus Williams),1.870,2.720
2,3:08,1,10,NOR 43,3,3,Tyrod Taylor pass complete deep right to Jarvis Landry for 22 yards (tackle by Marcus Williams),2.720,4.170
2,2:37,1,10,NOR 21,3,3,Tyrod Taylor pass complete short left to Rashard Higgins for -3 yards (tackle by Marshon Lattimore),4.170,3.220
2,2:23,,,,,,Timeout #1 by New Orleans Saints,,
2,2:23,2,13,NOR 24,3,3,Carlos Hyde left end for 3 yards (tackle by Marcus Davenport),3.220,2.940
2,2:19,,,,,,Timeout #2 by New Orleans Saints,,
2,2:19,3,10,NOR 21,3,3,Tyrod Taylor pass complete short right to David Njoku for no gain (tackle by Manti Te'o),2.940,2.060
2,2:00,4,10,NOR 21,6,3,Zane Gonzalez 39 yard field goal good,2.060,3.000
2,1:55,,,CLE 35,6,3,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
2,1:55,1,10,NOR 25,6,3,Drew Brees pass complete short right to Michael Thomas for -2 yards (tackle by Jabrill Peppers),0.610,-0.210
2,1:25,2,12,NOR 23,6,3,Drew Brees pass complete short left to Ben Watson for 4 yards (tackle by Joe Schobert),-0.210,-0.360
2,0:52,3,8,NOR 27,6,3,Drew Brees pass incomplete short right intended for Ben Watson,-0.360,-1.570
2,0:48,4,8,NOR 27,6,3,"Thomas Morstead punts 56 yards, returned by Jabrill Peppers for no gain (tackle by Justin Hardee). Penalty on Briean Boddy-Calhoun: Illegal Block Above the Waist, 8 yards",-1.570,0.380
2,0:38,1,10,CLE 9,6,3,Carlos Hyde left tackle for 2 yards (tackle by Demario Davis and David Onyemata),-0.380,-0.630
2,0:33,,,,,,Timeout #3 by New Orleans Saints,,
2,0:33,2,8,CLE 11,6,3,Carlos Hyde left tackle for 2 yards (tackle by Demario Davis),-0.630,-0.950
Quarter,Time,Down,ToGo,Location,CLE,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,6,3,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NOR 25,6,3,Drew Brees pass complete short left to Ted Ginn for 8 yards (tackle by T.J. Carrie),0.610,1.140
3,14:25,2,2,NOR 33,6,3,Mike Gillislee left tackle for 1 yard (tackle by Chris Smith and Jamie Collins),1.140,0.560
3,13:56,3,1,NOR 34,6,3,Mike Gillislee right guard for no gain (tackle by Larry Ogunjobi),0.560,-1.110
3,13:18,4,1,NOR 34,6,3,"Thomas Morstead punts 45 yards, fair catch by Jabrill Peppers at CLE-21",-1.110,-0.340
3,13:10,1,10,CLE 21,6,3,Carlos Hyde left guard for 4 yards (tackle by Sheldon Rankins and Alex Okafor),0.340,0.340
3,12:32,2,6,CLE 25,6,3,"Tyrod Taylor pass incomplete deep left intended for Antonio Callaway. Penalty on Marshon Lattimore: Defensive Pass Interference, 17 yards (no play)",0.340,1.730
3,12:28,1,10,CLE 42,6,3,Carlos Hyde right guard for 2 yards (tackle by Demario Davis and David Onyemata),1.730,1.460
3,11:51,2,8,CLE 44,6,3,Carlos Hyde right guard for 2 yards (tackle by A.J. Klein),1.460,1.030
3,11:08,3,6,CLE 46,6,3,Tyrod Taylor right guard for 8 yards (tackle by Alex Okafor),1.030,2.520
3,10:22,1,10,NOR 46,6,3,Nick Chubb right end for 6 yards (tackle by David Onyemata),2.520,2.790
3,9:46,2,4,NOR 40,6,3,Tyrod Taylor pass incomplete short middle intended for Antonio Callaway (defended by Ken Crawley),2.790,2.080
3,9:42,3,4,NOR 40,6,3,Tyrod Taylor pass complete short left to Antonio Callaway for 18 yards (tackle by Ken Crawley),2.080,4.110
3,9:06,1,10,NOR 22,6,3,Tyrod Taylor pass incomplete short left intended for Jarvis Landry,4.110,3.560
3,9:01,2,10,NOR 22,6,3,Tyrod Taylor pass complete short middle to Jarvis Landry for 5 yards (tackle by A.J. Klein and Vonn Bell),3.560,3.560
3,8:19,3,5,NOR 17,6,3,"Tyrod Taylor pass incomplete deep left intended for Duke Johnson (defended by Patrick Robinson). Penalty on Patrick Robinson: Defensive Pass Interference, 16 yards (no play)",3.560,6.970
3,8:14,1,1,NOR 1,6,3,Tyrod Taylor sacked by Cameron Jordan for -1 yards,6.970,5.720
3,7:34,2,2,NOR 2,6,3,Carlos Hyde right guard for 1 yard (tackle by A.J. Klein),5.720,5.170
3,6:48,3,1,NOR 1,12,3,"Carlos Hyde left end for 1 yard, touchdown",5.170,7.000
3,6:43,,,NOR 15,12,3,Zane Gonzalez kicks extra point no good wide left,0.000,-1.000
3,6:43,,,CLE 35,12,3,"Zane Gonzalez kicks off 72 yards, returned by Taysom Hill for no gain (tackle by Derrick Kindred)",0.000,1.600
3,6:37,1,10,NOR 40,12,3,Drew Brees pass complete short middle to Michael Thomas for 5 yards (tackle by Joe Schobert),1.600,1.730
3,6:00,2,5,NOR 45,12,3,Drew Brees pass complete short right to Michael Thomas for 6 yards (tackle by Terrance Mitchell),1.730,2.320
3,5:21,1,10,CLE 49,12,3,Drew Brees pass complete short right to Michael Thomas for 4 yards (tackle by Denzel Ward),2.320,2.320
3,4:46,2,6,CLE 45,12,3,Drew Brees pass complete short right to Josh Hill for 5 yards (tackle by T.J. Carrie),2.320,2.280
3,4:04,3,1,CLE 40,12,3,Drew Brees sacked by Larry Ogunjobi for -10 yards,2.280,-0.060
3,3:22,4,11,NOR 50,12,3,"Thomas Morstead punts 32 yards, fair catch by Jabrill Peppers at CLE-18",-0.060,-0.040
3,3:15,1,10,CLE 18,12,3,Tyrod Taylor right end for 7 yards,0.040,0.550
3,2:37,2,3,CLE 25,12,3,Tyrod Taylor pass complete short middle to Rashard Higgins for 16 yards (tackle by Marcus Williams),0.550,1.660
3,2:02,1,10,CLE 41,12,3,Tyrod Taylor pass complete short right to David Njoku for 5 yards (tackle by Patrick Robinson),1.660,1.800
3,1:26,2,5,CLE 46,12,3,Carlos Hyde left end for 10 yards (tackle by Marshon Lattimore),1.800,2.650
3,0:47,1,10,NOR 44,12,3,Nick Chubb left end for 8 yards (tackle by Kurt Coleman),2.650,3.190
3,0:12,2,2,NOR 36,12,3,Tyrod Taylor pass complete short right to Duke Johnson for 6 yards (tackle by Patrick Robinson),3.190,3.580
Quarter,Time,Down,ToGo,Location,CLE,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NOR 30,12,3,Tyrod Taylor pass complete short left to Rashard Higgins for 4 yards (tackle by Patrick Robinson),3.580,3.570
4,14:30,2,6,NOR 26,12,3,Tyrod Taylor pass incomplete deep right intended for Rashard Higgins,3.570,2.870
4,14:23,3,6,NOR 26,12,3,Tyrod Taylor pass incomplete short middle intended for Rashard Higgins,2.870,1.760
4,14:21,4,6,NOR 26,12,3,Zane Gonzalez 44 yard field goal no good,1.760,-1.200
4,14:16,1,10,NOR 34,12,3,Alvin Kamara right tackle for 18 yards (tackle by Damarious Randall),1.200,2.390
4,13:37,1,10,CLE 48,12,3,Drew Brees pass complete short middle to Ben Watson for 7 yards (tackle by James Burgess),2.390,2.790
4,12:56,2,3,CLE 41,12,3,Mike Gillislee left guard for no gain (tackle by Myles Garrett),2.790,2.080
4,12:12,3,3,CLE 41,12,3,"Drew Brees sacked by Larry Ogunjobi for no gain. Penalty on Derrick Kindred: Illegal Contact, 5 yards (no play)",2.080,3.180
4,11:55,1,10,CLE 36,12,3,Alvin Kamara right tackle for 9 yards (tackle by James Burgess),3.180,3.850
4,11:20,2,1,CLE 27,12,3,Alvin Kamara right guard for 3 yards (tackle by Joe Schobert and Chris Smith),3.850,3.970
4,10:40,1,10,CLE 24,12,3,Drew Brees pass complete short right to Michael Thomas for 5 yards (tackle by Denzel Ward),3.970,4.120
4,10:00,2,5,CLE 19,12,3,Drew Brees pass complete short right to Michael Thomas for 14 yards (tackle by Denzel Ward),4.120,6.060
4,9:21,1,5,CLE 5,12,3,Alvin Kamara left guard for 3 yards (tackle by Jamie Collins),6.060,5.720
4,8:45,2,2,CLE 2,12,9,"Drew Brees pass complete short left to Michael Thomas for 2 yards, touchdown",5.720,7.000
4,8:41,,,CLE 15,12,10,Wil Lutz kicks extra point good,0.000,0.000
4,8:41,,,NOR 35,12,10,"Wil Lutz kicks off 68 yards, returned by Jabrill Peppers for no gain (tackle by Mike Gillislee)",0.000,0.610
4,8:37,1,10,CLE 25,12,10,Antonio Callaway right end for -8 yards (tackle by Demario Davis),0.610,-1.150
4,7:58,2,18,CLE 17,12,10,"Tyrod Taylor left guard for 5 yards. Tyrod Taylor fumbles, recovered by Tyrod Taylor at CLE-22",-1.150,-1.020
4,7:32,3,13,CLE 22,12,10,Tyrod Taylor pass incomplete short right intended for Jarvis Landry,-1.020,-1.900
4,7:27,4,13,CLE 22,12,10,Britton Colquitt punts 43 yards out of bounds,-1.900,-1.270
4,7:20,1,10,NOR 35,12,10,Drew Brees pass incomplete deep right intended for Ted Ginn,1.270,0.720
4,7:15,2,10,NOR 35,12,10,Mike Gillislee right tackle for 4 yards (tackle by Denzel Ward),0.720,0.560
4,6:33,3,6,NOR 39,12,10,Drew Brees sacked by T.J. Carrie for -9 yards,0.560,-1.370
4,6:00,4,15,NOR 30,12,10,"Thomas Morstead punts 46 yards, fair catch by Jabrill Peppers at CLE-24",-1.370,-0.540
4,5:52,1,10,CLE 24,12,10,"Tyrod Taylor right end for 6 yards (tackle by Demario Davis). Tyrod Taylor fumbles, ball out of bounds at CLE-30 (forced by Demario Davis)",0.540,0.810
4,5:10,2,4,CLE 30,12,10,Tyrod Taylor pass short right intended for David Njoku is intercepted by Marcus Williams at CLE-40 and returned for 22 yards,0.810,-4.370
4,4:57,1,10,CLE 18,12,10,Drew Brees pass complete short middle to Ben Watson for 8 yards (tackle by T.J. Carrie and Joe Schobert),4.370,5.230
4,4:15,2,2,CLE 10,12,10,Alvin Kamara right guard for no gain (tackle by Jabrill Peppers and Trevon Coley),5.230,4.510
4,3:31,,,,,,Timeout #1 by Cleveland Browns,,
4,3:31,3,2,CLE 10,12,10,Alvin Kamara right tackle for 5 yards (tackle by Jabrill Peppers),4.510,6.060
4,2:44,1,5,CLE 5,12,16,"Drew Brees pass complete short right to Michael Thomas for 5 yards, touchdown",6.060,7.000
4,2:40,,,CLE 2,12,18,"Two Point Attempt: Alvin Kamara rushes, conversion succeeds.",0.000,1.000
4,2:40,,,NOR 35,12,18,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,2:40,1,10,CLE 25,12,18,Tyrod Taylor pass incomplete short middle intended for David Njoku,0.610,0.060
4,2:36,2,10,CLE 25,12,18,Tyrod Taylor pass complete deep right to Rashard Higgins for 23 yards (tackle by Vonn Bell),0.060,2.130
4,2:09,1,10,CLE 48,12,18,Tyrod Taylor pass complete short middle to David Njoku for 8 yards (tackle by Vonn Bell),2.130,2.660
4,2:00,2,2,NOR 44,12,18,Tyrod Taylor sacked by Cameron Jordan for -10 yards,2.660,0.630
4,1:31,3,12,CLE 46,12,18,Tyrod Taylor pass complete short middle to David Njoku for 7 yards (tackle by A.J. Klein and Vonn Bell),0.630,0.130
4,1:24,,,,,,Timeout #2 by Cleveland Browns,,
4,1:24,4,5,NOR 47,18,18,"Tyrod Taylor pass complete deep middle to Antonio Callaway for 47 yards, touchdown",0.130,7.000
4,1:16,,,NOR 15,18,18,Zane Gonzalez kicks extra point no good wide left,0.000,-1.000
4,1:16,,,CLE 35,18,18,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
4,1:16,1,10,NOR 25,18,18,Drew Brees pass complete short left to Ted Ginn for 8 yards (tackle by T.J. Carrie),0.610,1.140
4,0:53,2,2,NOR 33,18,18,Drew Brees pass complete deep middle to Ted Ginn for 42 yards (tackle by Damarious Randall),1.140,3.910
4,0:43,1,10,CLE 25,18,18,Alvin Kamara right end for -1 yards (tackle by Jamie Collins),3.910,3.230
4,0:35,,,,,,Timeout #2 by New Orleans Saints,,
4,0:35,2,11,CLE 26,18,18,Drew Brees pass incomplete deep left intended for Ted Ginn,3.230,2.540
4,0:30,3,11,CLE 26,18,18,Drew Brees pass incomplete deep left intended for Austin Carr,2.540,1.740
4,0:26,4,11,CLE 26,18,21,Wil Lutz 44 yard field goal good,1.740,3.000
4,0:21,,,NOR 35,18,21,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,0:21,1,10,CLE 25,18,21,Tyrod Taylor pass complete deep middle to Jarvis Landry for 25 yards (tackle by Vonn Bell),0.610,2.260
4,0:14,,,,,,Timeout #3 by Cleveland Browns,,
4,0:14,1,10,CLE 50,18,21,Tyrod Taylor pass complete short right to Antonio Callaway for 16 yards (tackle by Ken Crawley),2.260,3.310
4,0:08,1,10,NOR 34,18,21,Zane Gonzalez 52 yard field goal no good,3.310,-1.730
4,0:03,1,10,NOR 42,18,21,Drew Brees kneels for -1 yards,1.730,1.050
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
