Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Carlos Hyde,CLE,16,43,1,2,-7,-0.4,50,3.1,1,16.0
Tyrod Taylor,CLE,4,26,0,1,21,5.3,5,1.3,0,
Duke Johnson,CLE,3,3,0,0,0,0.0,3,1.0,0,
Antonio Callaway,CLE,2,7,0,1,7,3.5,0,0.0,0,
Nick Chubb,CLE,2,14,0,,3,1.5,11,5.5,1,2.0
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,13,46,0,4,5,0.4,41,3.2,6,2.2
Mike Gillislee,NOR,8,18,0,,-2,-0.3,20,2.5,3,2.7
Drew Brees,NOR,1,-1,0,0,-1,-1.0,0,0.0,0,
Jonathan Williams,NOR,1,-1,0,,-2,-2.0,1,1.0,0,
