Quarter,Time,Tm,Detail,CLE,NOR
1.0,8:29,Browns,Zane Gonzalez 39 yard field goal,3,0
,2:47,Saints,Wil Lutz 31 yard field goal,3,3
2.0,1:55,Browns,Zane Gonzalez 39 yard field goal,6,3
3.0,6:43,Browns,Carlos Hyde 1 yard rush (Zane Gonzalez kick failed),12,3
4.0,8:41,Saints,Michael Thomas 2 yard pass from Drew Brees (Wil Lutz kick),12,10
,2:40,Saints,Michael Thomas 5 yard pass from Drew Brees (Alvin Kamara run),12,18
,1:16,Browns,Antonio Callaway 47 yard pass from Tyrod Taylor (Zane Gonzalez kick failed),18,18
,0:21,Saints,Wil Lutz 44 yard field goal,18,21
