Unnamed: 0,STL,SFO
First Downs,19,20
Rush-Yds-TDs,26-114-0,30-83-1
Cmp-Att-Yd-TD-INT,19-38-218-1-1,19-28-275-1-0
Sacked-Yards,3-20,4-20
Net Pass Yards,198,255
Total Yards,312,338
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,11-105,9-85
Third Down Conv.,4-13,4-12
Fourth Down Conv.,0-2,0-0
Time of Possession,26:56,33:04
