Quarter,Time,Tm,Detail,STL,SFO
1.0,7:36,49ers,Phil Dawson 32 yard field goal,0,3
2.0,14:16,49ers,Phil Dawson 43 yard field goal,0,6
,6:15,49ers,Frank Gore 3 yard rush (Phil Dawson kick),0,13
,0:54,Rams,Greg Zuerlein 43 yard field goal,3,13
3.0,8:56,Rams,Greg Zuerlein 34 yard field goal,6,13
,3:25,49ers,Phil Dawson 24 yard field goal,6,16
4.0,14:31,49ers,Vernon Davis 17 yard pass from Colin Kaepernick (Phil Dawson kick),6,23
,0:18,Rams,Brian Quick 3 yard pass from Kellen Clemens (Greg Zuerlein kick),13,23
