Quarter,Time,Tm,Detail,DAL,CAR
1.0,8:40,Panthers,John Kasay 18 yard field goal,0,3
,1:02,Panthers,John Kasay 38 yard field goal,0,6
2.0,6:10,Panthers,Stephen Davis 23 yard rush (John Kasay kick),0,13
,1:12,Cowboys,Billy Cundiff 37 yard field goal,3,13
,0:01,Panthers,John Kasay 19 yard field goal,3,16
3.0,9:44,Panthers,Steve Smith Sr. 32 yard pass from Jake Delhomme (John Kasay kick),3,23
4.0,12:45,Panthers,John Kasay 32 yard field goal,3,26
,7:36,Cowboys,Quincy Carter 9 yard rush (Billy Cundiff kick),10,26
,3:12,Panthers,John Kasay 34 yard field goal,10,29
