Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"John Kasay kicks off 60 yards, returned by Michael Bates for 20 yards (tackle by Ricky Manning)",0.000,0.940
1,14:56,1,10,DAL 30,0,0,Quincy Carter pass complete to Jason Witten for 6 yards (tackle by Greg Favors),0.940,1.200
1,14:23,2,4,DAL 36,0,0,Quincy Carter pass complete to Terry Glenn for 3 yards (tackle by Reggie Howard),1.200,0.890
1,13:42,3,1,DAL 39,0,0,Quincy Carter pass complete to Jason Witten for 3 yards (tackle by Colin Branch),0.890,1.730
1,13:12,1,10,DAL 42,0,0,Quincy Carter pass incomplete intended for Jason Witten,1.730,1.190
1,13:07,2,10,DAL 42,0,0,Quincy Carter pass incomplete intended for Richie Anderson,1.190,0.500
1,13:01,3,10,DAL 42,0,0,Quincy Carter pass complete to Antonio Bryant for 4 yards (tackle by Dan Morgan),0.500,-0.320
1,12:38,4,6,DAL 46,0,0,Toby Gowin punts 32 yards,-0.320,-0.410
1,12:27,1,10,CAR 22,0,0,Stephen Davis right tackle for 4 yards (tackle by Dat Nguyen),0.410,0.410
1,11:55,2,6,CAR 26,0,0,Stephen Davis left guard for 3 yards (tackle by La'Roi Glover),0.410,0.100
1,11:14,3,3,CAR 29,0,0,Jake Delhomme pass complete to Steve Smith for 70 yards (tackle by Pete Hunter),0.100,6.970
1,10:15,1,1,DAL 1,0,0,Stephen Davis right guard for no gain (tackle by Alshermond Singleton and La'Roi Glover),6.970,5.910
1,9:34,2,1,DAL 1,0,0,Jake Delhomme pass incomplete intended for Muhsin Muhammad,5.910,5.170
1,9:31,3,1,DAL 1,0,0,Stephen Davis right tackle for no gain (tackle by Randal Williams),5.170,3.550
1,8:45,4,1,DAL 1,0,3,John Kasay 18 yard field goal good,3.550,3.000
1,,,,CAR 30,0,3,"John Kasay kicks off 54 yards, returned by Michael Bates for 6 yards (tackle by Vinny Ciurciu)",0.000,0.410
1,8:36,1,10,DAL 22,0,3,Troy Hambrick left guard for 3 yards (tackle by Dan Morgan and Mike Rucker),0.410,0.270
1,8:00,2,7,DAL 25,0,3,Quincy Carter pass incomplete intended for Terry Glenn,0.270,-0.430
1,7:57,3,7,DAL 25,0,3,Quincy Carter pass incomplete intended for Jason Witten (defended by Kris Jenkins),-0.430,-1.700
1,7:53,4,7,DAL 25,0,3,"Toby Gowin punts 41 yards, returned by Steve Smith for 4 yards (tackle by Jeff Robinson)",-1.700,-1.470
1,7:42,1,10,CAR 38,0,3,Jake Delhomme pass complete to Ricky Proehl for 7 yards (tackle by Terence Newman),1.470,1.870
1,7:06,2,3,CAR 45,0,3,Stephen Davis left guard for 6 yards (tackle by Dexter Coakley),1.870,2.320
1,6:26,1,10,DAL 49,0,3,Jake Delhomme pass complete to Jermaine Wiggins for 6 yards (tackle by Alshermond Singleton),2.320,2.590
1,5:44,2,4,DAL 43,0,3,Brad Hoover left guard for 1 yard (tackle by Dat Nguyen),2.590,2.020
1,5:02,3,3,DAL 42,0,3,Stephen Davis right end for -2 yards (tackle by Darren Woodson),2.020,0.330
1,4:24,4,5,DAL 44,0,3,"Todd Sauerbrun punts 44 yards, touchback",0.330,-0.280
1,4:14,1,10,DAL 20,0,3,Troy Hambrick right tackle for -2 yards (tackle by Shane Burton),0.280,-0.630
1,3:36,2,12,DAL 18,0,3,Quincy Carter pass incomplete intended for Terry Glenn (defended by Greg Favors),-0.630,-1.330
1,3:31,3,12,DAL 18,0,3,Quincy Carter sacked by Reggie Howard for -9 yards,-1.330,-2.490
1,3:11,4,21,DAL 9,0,3,Toby Gowin punts 32 yards. Penalty on Bradie James: Ineligible Downfield Kick (Declined),-2.490,-2.850
1,2:59,1,10,DAL 41,0,3,Jake Delhomme pass incomplete intended for Brad Hoover,2.850,2.310
1,2:55,2,10,DAL 41,0,3,Jake Delhomme pass incomplete intended for Ricky Proehl,2.310,1.620
1,2:49,3,10,DAL 41,0,3,Jake Delhomme pass complete to Muhsin Muhammad for 14 yards (tackle by Mario Edwards). Penalty on Eric Ogbogu: Defensive Offside (Declined),1.620,3.780
1,2:30,1,10,DAL 27,0,3,Stephen Davis up the middle for 1 yard (tackle by Randal Williams),3.780,3.370
1,1:53,2,9,DAL 26,0,3,Jake Delhomme pass complete to Brad Hoover for 6 yards (tackle by Dat Nguyen),3.370,3.470
1,1:12,3,3,DAL 20,0,3,Jake Delhomme pass incomplete intended for Muhsin Muhammad,3.470,2.220
1,1:07,4,3,DAL 20,0,6,John Kasay 38 yard field goal good,2.220,3.000
1,,,,CAR 30,0,6,"John Kasay kicks off 60 yards, returned by Michael Bates for 23 yards (tackle by Ricky Manning)",0.000,1.140
1,0:57,1,10,DAL 33,0,6,Quincy Carter pass complete to Joey Galloway for 28 yards,1.140,2.980
1,0:25,1,10,CAR 39,0,6,Quincy Carter pass complete to Troy Hambrick for 3 yards (tackle by Dan Morgan),2.980,2.850
Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CAR 36,0,6,Troy Hambrick left tackle for 16 yards (tackle by Reggie Howard),2.850,4.240
2,14:17,1,10,CAR 20,0,6,Quincy Carter pass incomplete intended for Joey Galloway (defended by Brentson Buckner),4.240,3.690
2,14:12,2,10,CAR 20,0,6,"Richie Anderson up the middle for 5 yards (tackle by Will Witherspoon). Richie Anderson fumbles (forced by Will Witherspoon), recovered by Mike Minter at CAR-11 (tackle by Antonio Bryant)",3.690,0.370
,,,,,,,"DAL challenged the ruling, and the play was upheld.",,
2,14:04,1,10,CAR 11,0,6,Stephen Davis right end for 23 yards (tackle by Darren Woodson),-0.370,1.200
2,13:36,1,10,CAR 34,0,6,Stephen Davis left guard for 4 yards (tackle by Dat Nguyen),1.200,1.200
2,13:02,2,6,CAR 38,0,6,Stephen Davis up the middle for 3 yards (tackle by Eric Ogbogu),1.200,0.890
2,12:19,3,3,CAR 41,0,6,Jake Delhomme pass incomplete intended for Ricky Proehl (defended by Ebenezer Ekuban),0.890,-0.650
2,12:14,4,3,CAR 41,0,6,"Todd Sauerbrun punts 38 yards, returned by Joey Galloway for 4 yards (tackle by Karl Hankton)",-0.650,-0.610
2,12:03,1,10,DAL 25,0,6,Quincy Carter pass complete to Terry Glenn for 6 yards,0.610,0.870
2,11:26,2,4,DAL 31,0,6,Troy Hambrick up the middle for 2 yards (tackle by Mike Rucker),0.870,0.430
2,10:49,3,2,DAL 33,0,6,Richie Anderson left end for 1 yard (tackle by Will Witherspoon),0.430,-1.110
2,10:07,4,1,DAL 34,0,6,Toby Gowin punts 17 yards,-1.110,-2.190
2,9:59,1,10,CAR 49,0,6,Jake Delhomme pass complete to Kris Mangum for no gain,2.190,1.650
2,9:21,2,10,CAR 49,0,6,Stephen Davis left guard for 2 yards (tackle by Dat Nguyen and La'Roi Glover),1.650,1.220
