Unnamed: 0,TEN,IND
First Downs,13,25
Rush-Yds-TDs,31-121-0,19-80-0
Cmp-Att-Yd-TD-INT,14-19-82-1-0,37-50-327-2-1
Sacked-Yards,1-5,3-29
Net Pass Yards,77,298
Total Yards,198,378
Fumbles-Lost,0-0,4-2
Turnovers,0,3
Penalties-Yards,5-45,6-48
Third Down Conv.,3-10,4-13
Fourth Down Conv.,0-0,2-4
Time of Possession,31:41,28:19
