Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,TEN 30,0,0,"Joe Nedney kicks off 65 yards, returned by Troy Walters for 20 yards (tackle by Justin McCareins)",0.000,0.610
1,14:56,1,10,IND 25,0,0,Peyton Manning pass complete to Marvin Harrison for -2 yards (tackle by Kevin Carter),0.610,-0.210
1,14:22,2,12,IND 23,0,0,Jim Finn left tackle for 3 yards (tackle by Peter Sirmon),-0.210,-0.490
1,13:38,3,9,IND 26,0,0,"Peyton Manning pass complete to Jim Finn for 5 yards (tackle by Donald Mitchell). Jim Finn fumbles (forced by Donald Mitchell), ball out of bounds at IND-31",-0.490,-1.310
1,13:16,4,4,IND 31,0,0,"Hunter Smith punts 49 yards, returned by Justin McCareins for 4 yards (tackle by Jason Doering)",-1.310,-0.540
1,13:05,1,10,TEN 24,0,0,Steve McNair pass incomplete intended for Derrick Mason (defended by David Macklin),0.540,0.000
1,12:59,2,10,TEN 24,0,0,"Eddie George left end for 1 yard (tackle by Rob Morris). Penalty on David Pugh: Defensive Offside, 5 yards (no play)",0.000,0.670
1,12:31,2,5,TEN 29,0,0,Steve McNair pass incomplete intended for Derrick Mason,0.670,-0.030
1,12:24,3,5,TEN 29,0,0,Eddie George left guard for 3 yards (tackle by Chad Bratzke),-0.030,-1.240
1,11:50,4,2,TEN 32,0,0,"Craig Hentrich punts 38 yards, out of bounds",-1.240,-0.940
1,11:43,1,10,IND 30,0,0,Peyton Manning pass complete to Marcus Pollard for 2 yards (tackle by Robaire Smith and Peter Sirmon),0.940,0.660
1,11:05,2,8,IND 32,0,0,Jim Finn middle for 5 yards (tackle by Peter Sirmon and Carlos Hall),0.660,0.630
1,10:25,3,3,IND 37,0,0,"Penalty on Tarik Glenn: False Start, 5 yards (no play)",0.630,-0.030
1,10:05,3,8,IND 32,0,0,"Peyton Manning pass complete to Jim Finn for 12 yards (tackle by Tank Williams). Jim Finn fumbles (forced by Tank Williams), recovered by Tank Williams at IND-44 (tackle by Jim Finn)",-0.030,-2.650
,,,,,,,"IND challenged the ruling, and the play was upheld.",,
1,9:50,1,10,IND 44,0,0,Eddie George left tackle for 4 yards (tackle by Mike Peterson),2.650,2.650
1,9:11,2,6,IND 40,0,0,Eddie George right tackle for 4 yards (tackle by David Gibson),2.650,2.480
1,8:27,3,2,IND 36,0,0,Steve McNair pass complete to Derrick Mason for 4 yards (tackle by Nick Harper),2.480,3.450
1,7:47,1,10,IND 32,0,0,Steve McNair pass complete to Eddie George for 6 yards (tackle by Marcus Washington and Idrees Bashir),3.450,3.710
1,7:03,2,4,IND 26,0,0,"Eddie George middle for 1 yard (tackle by Chad Bratzke). Penalty on David Pugh: Face Mask (15 Yards), 13 yards",3.710,4.780
1,6:40,1,10,IND 12,0,0,Eddie George left tackle for -3 yards (tackle by David Gibson),4.780,3.660
1,5:59,2,13,IND 15,0,0,Steve McNair pass complete to Derrick Mason for 5 yards (tackle by Marcus Washington),3.660,3.480
1,5:12,2,13,IND 15,,,Timeout #1 by Tennessee Titans,3.660,3.480
1,5:12,3,8,IND 10,0,0,Steve McNair pass incomplete intended for Derrick Mason,3.480,2.760
1,5:09,4,8,IND 10,3,0,Joe Nedney 28 yard field goal good,2.760,3.000
1,5:09,,,TEN 30,3,0,"Joe Nedney kicks off 69 yards, returned by Troy Walters for 20 yards (tackle by Tony Beckham)",0.000,0.340
1,4:59,1,10,IND 21,3,0,Peyton Manning pass complete to Marvin Harrison for 27 yards (tackle by Tank Williams and Samari Rolle),0.340,2.130
1,4:25,1,10,IND 48,3,0,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Samari Rolle),2.130,1.580
1,4:21,2,10,IND 48,3,0,James Mungro middle for 3 yards (tackle by Keith Bulluck and Peter Sirmon),1.580,1.290
1,3:36,3,7,TEN 49,3,0,Peyton Manning pass incomplete intended for Marvin Harrison is intercepted by Peter Sirmon at TEN-44 and returned for 31 yards,1.290,-3.910
1,3:28,1,10,IND 25,3,0,"Steve McNair pass complete to Eddie George for 15 yards (tackle by Marcus Washington). Penalty on Fred Miller: Illegal Use of Hands, 10 yards (no play)",3.910,3.250
1,3:08,1,20,IND 35,3,0,Steve McNair pass complete to Eddie George for 10 yards (tackle by Rob Morris),3.250,3.360
1,2:23,2,10,IND 25,3,0,Steve McNair pass complete to Derrick Mason for 14 yards (tackle by Rob Morris and Idrees Bashir),3.360,4.840
1,1:35,1,10,IND 11,3,0,Eddie George left guard for 3 yards (tackle by David Gibson),4.840,4.700
1,0:52,2,7,IND 8,3,0,Eddie George left tackle for 5 yards (tackle by David Gibson and Idrees Bashir),4.700,4.890
1,0:04,3,2,IND 3,9,0,"Steve McNair pass complete to Mike Green for 3 yards, touchdown",4.890,7.000
1,0:04,,,IND 3,10,0,Joe Nedney kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,TEN 30,10,0,"Joe Nedney kicks off 61 yards, returned by Troy Walters for 20 yards (tackle by Brad Kassell). Troy Walters fumbles (forced by Brad Kassell), recovered by Donnel Thompson at IND-31",0.000,1.000
2,14:49,1,10,IND 31,10,0,James Mungro left tackle for 6 yards (tackle by Peter Sirmon),1.000,1.270
