Unnamed: 0,CAR,PHI
First Downs,21,17
Rush-Yds-TDs,32-102-1,23-37-2
Cmp-Att-Yd-TD-INT,25-40-306-2-3,20-38-332-2-0
Sacked-Yards,9-91,1-4
Net Pass Yards,215,328
Total Yards,317,365
Fumbles-Lost,3-2,2-0
Turnovers,5,0
Penalties-Yards,4-30,5-50
Third Down Conv.,10-20,5-15
Fourth Down Conv.,0-1,0-1
Time of Possession,38:05,21:55
