Quarter,Time,Tm,Detail,CAR,PHI
1.0,13:25,Eagles,Cody Parkey 39 yard field goal,0,3
,11:25,Eagles,Darren Sproles 8 yard rush (Cody Parkey kick),0,10
,6:00,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),7,10
,3:29,Eagles,Darren Sproles 65 yard punt return (Cody Parkey kick),7,17
2.0,11:33,Eagles,Jordan Matthews 13 yard pass from Mark Sanchez (Cody Parkey kick),7,24
,2:13,Eagles,Bradley Fletcher 34 yard interception return (Cody Parkey kick),7,31
3.0,7:40,Eagles,LeSean McCoy 1 yard rush (Cody Parkey kick),7,38
4.0,11:43,Eagles,Jordan Matthews 18 yard pass from Mark Sanchez (Cody Parkey kick),7,45
,9:05,Panthers,Kelvin Benjamin 21 yard pass from Cam Newton (Graham Gano kick),14,45
,5:30,Panthers,Kelvin Benjamin 40 yard pass from Cam Newton (Graham Gano kick),21,45
