Unnamed: 0,ATL,NWE
First Downs,21,25
Rush-Yds-TDs,22-120-0,36-162-0
Cmp-Att-Yd-TD-INT,23-33-233-1-0,21-29-249-2-0
Sacked-Yards,1-10,2-8
Net Pass Yards,223,241
Total Yards,343,403
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,6-40,8-65
Third Down Conv.,2-9,7-13
Fourth Down Conv.,1-3,0-0
Time of Possession,25:55,34:05
