Quarter,Time,Down,ToGo,Location,ATL,NWE,Detail,EPB,EPA
1,9:35,1,10,NWE 27,0,0,"Tom Brady sacked by De'Vondre Campbell for -7 yards. Tom Brady fumbles (forced by De'Vondre Campbell), recovered by Tom Brady at NWE-20",0.740,-0.750
1,8:52,2,17,NWE 20,0,0,"Tom Brady pass complete deep right to Rob Gronkowski for 40 yards (tackle by Duke Riley). Penalty on Rob Gronkowski: Offensive Pass Interference, 10 yards (no play)",-0.750,-2.020
1,8:32,2,27,NWE 10,0,0,James White middle for 2 yards (tackle by Vic Beasley),-2.020,-3.180
1,7:54,3,25,NWE 12,0,0,Tom Brady pass complete short left to James White for 16 yards (tackle by Deion Jones and Keanu Neal),-3.180,-1.500
1,7:24,4,9,NWE 28,0,0,"Ryan Allen punts 43 yards, fair catch by Andre Roberts",-1.500,-0.870
1,7:15,1,10,ATL 29,0,0,Tevin Coleman left guard for 4 yards (tackle by Trey Flowers and Malcom Brown),0.870,0.870
1,6:41,2,6,ATL 33,0,0,Matt Ryan pass complete short left to Julio Jones for 16 yards (tackle by Malcolm Butler),0.870,2.190
1,6:07,1,10,ATL 49,0,0,Tevin Coleman left tackle for 1 yard (tackle by Trey Flowers),2.190,1.780
1,5:24,2,9,,0,0,Devonta Freeman middle for 5 yards (tackle by Patrick Chung),1.780,1.750
1,4:40,3,4,NWE 45,0,0,Devonta Freeman right end for -3 yards,1.750,0.070
1,3:56,4,7,NWE 48,0,0,Matt Ryan for 9 yards,0.070,2.980
1,3:21,1,10,NWE 39,0,0,Devonta Freeman left end for 1 yard (tackle by Dont'a Hightower),2.980,2.580
1,2:34,2,9,NWE 38,0,0,Matt Ryan pass complete deep middle to Mohamed Sanu for 19 yards,2.580,4.310
1,2:07,1,10,NWE 19,0,0,Tevin Coleman right tackle for no gain (tackle by Malcolm Butler),4.310,3.750
1,1:26,2,10,NWE 19,0,0,Matt Ryan pass incomplete deep left intended for Mohamed Sanu,3.750,3.030
1,1:19,3,10,NWE 19,0,0,Matt Ryan pass incomplete short middle intended for Andre Roberts (defended by Jonathan Jones),3.030,2.180
1,1:11,4,10,NWE 19,0,0,"Matt Bryant 37 yard field goal no good, blocked by Cassius Marsh, recovered by Johnson Bademosi",2.180,-0.670
1,1:05,1,10,NWE 26,0,0,Tom Brady sacked by Vic Beasley for -1 yards,0.670,-0.010
1,0:30,2,11,NWE 25,0,0,Mike Gillislee right end for no gain (tackle by Desmond Trufant),-0.010,-0.690
Quarter,Time,Down,ToGo,Location,ATL,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,11,NWE 25,0,0,"Penalty on Nate Solder: False Start, 5 yards (no play)",-0.690,-1.350
2,15:00,3,16,NWE 20,0,0,Tom Brady pass complete deep middle to Chris Hogan for 20 yards (tackle by Keanu Neal),-1.350,1.600
2,14:30,1,10,NWE 40,0,0,Dion Lewis left guard for 25 yards (tackle by Ricardo Allen and Brian Poole),1.600,3.250
2,13:59,1,10,ATL 35,0,0,Dion Lewis middle for 4 yards (tackle by Dontari Poe and Deion Jones),3.250,3.240
2,13:27,2,6,ATL 31,0,0,"Tom Brady pass incomplete deep left intended for Phillip Dorsett is intercepted by Robert Alford at ATL--6 and returned for 19 yards. Penalty on Adrian Clayborn: Roughing the Passer, 15 yards (no play)",3.240,4.510
2,13:10,1,10,ATL 16,0,0,Mike Gillislee right guard for 5 yards (tackle by Kemal Ishmael),4.510,4.760
2,12:36,2,5,ATL 11,0,6,"Tom Brady pass complete short middle to Brandin Cooks for 11 yards, touchdown",4.760,7.000
2,12:26,,,ATL 15,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,12:26,,,NWE 35,0,7,"Stephen Gostkowski kicks off 64 yards, returned by Andre Roberts for 17 yards (tackle by Brandon Bolden)",0.000,-0.040
2,12:21,1,10,ATL 18,0,7,Matt Ryan pass incomplete deep right intended for Julio Jones (defended by Duron Harmon),0.040,-0.490
2,12:14,2,10,ATL 18,0,7,Matt Ryan pass complete short left to Taylor Gabriel for 6 yards (tackle by Johnson Bademosi and Duron Harmon),-0.490,-0.400
2,11:34,3,4,ATL 24,0,7,Matt Ryan pass incomplete deep middle intended for Julio Jones (defended by Johnson Bademosi),-0.400,-1.770
2,11:28,4,4,ATL 24,0,7,"Matthew Bosher punts 49 yards, returned by Danny Amendola for -1 yards (tackle by Justin Hardy)",-1.770,-0.670
2,11:19,1,10,NWE 26,0,7,Tom Brady pass incomplete short left intended for Rob Gronkowski,0.670,0.130
2,11:15,2,10,NWE 26,0,7,Rex Burkhead left guard for 9 yards (tackle by De'Vondre Campbell),0.130,0.000
2,10:43,,,,,,Timeout #1 by Atlanta Falcons,0.000,-0.630
2,10:43,3,1,NWE 35,0,7,Mike Gillislee middle for 3 yards (tackle by Dontari Poe and Deion Jones),0.630,1.470
2,10:13,1,10,NWE 38,0,7,Rex Burkhead right end for 9 yards (tackle by Kemal Ishmael and Ricardo Allen),1.470,2.140
2,9:36,2,1,NWE 47,0,7,Rex Burkhead middle for 2 yards (tackle by Kemal Ishmael),2.140,2.190
2,8:51,1,10,NWE 49,0,7,Tom Brady pass incomplete deep left intended for Rob Gronkowski,2.190,1.650
2,8:45,2,10,NWE 49,0,7,Tom Brady pass complete short left to Danny Amendola for 7 yards (tackle by Brian Poole),1.650,1.880
2,8:05,3,3,ATL 44,0,7,"Penalty on Rob Gronkowski: False Start, 5 yards (no play)",1.880,1.220
2,7:45,3,8,ATL 49,0,7,Tom Brady pass complete deep left to Rob Gronkowski for 27 yards (tackle by De'Vondre Campbell),1.220,4.110
2,7:18,1,10,ATL 22,0,7,Rex Burkhead middle for 9 yards (tackle by Brian Poole and Ricardo Allen),4.110,5.060
2,6:48,2,1,ATL 13,0,7,Rex Burkhead middle for 2 yards (tackle by Brooks Reed and De'Vondre Campbell),5.060,4.840
2,6:06,1,10,ATL 11,0,7,Rex Burkhead right guard for no gain (tackle by Grady Jarrett and Vic Beasley),4.840,4.140
2,5:31,2,10,ATL 11,0,7,Tom Brady pass complete short right to James White for 1 yard (tackle by Grady Jarrett),4.140,3.300
2,4:52,3,9,ATL 10,0,7,Tom Brady pass incomplete short left intended for Chris Hogan (defended by Keanu Neal),3.300,2.760
2,4:46,4,9,ATL 10,0,10,Stephen Gostkowski 29 yard field goal good,2.760,3.000
2,4:42,,,NWE 35,0,10,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
2,4:42,1,10,ATL 25,0,10,Devonta Freeman right end for 11 yards (tackle by Devin McCourty and Johnson Bademosi),0.610,1.330
2,4:12,1,10,ATL 36,0,10,Matt Ryan pass complete short left to Mohamed Sanu for 13 yards (tackle by Johnson Bademosi),1.330,2.190
2,3:44,1,10,ATL 49,0,10,"Devonta Freeman middle for 6 yards. Penalty on Alex Mack: Offensive Holding (Offsetting), Penalty on Deatrich Wise Jr.: Defensive Holding (Offsetting) (no play)",2.190,2.190
2,3:21,1,10,ATL 49,0,10,Matt Ryan pass incomplete short right intended for Tevin Coleman,2.190,1.650
2,3:17,2,10,ATL 49,0,10,Matt Ryan sacked by Adam Butler for -10 yards,1.650,-0.360
2,2:36,3,20,ATL 39,0,10,Matt Ryan pass complete short middle to Julio Jones for 14 yards,-0.360,0.130
2,2:00,4,6,NWE 47,0,10,Matt Ryan pass incomplete deep left intended for Mohamed Sanu,0.130,-2.060
2,1:55,1,10,NWE 47,0,10,James White middle for 5 yards (tackle by Vic Beasley),2.060,2.190
2,1:16,2,5,ATL 48,0,10,Tom Brady pass complete short right to James White for 6 yards (tackle by De'Vondre Campbell),2.190,2.790
2,1:10,1,10,ATL 42,0,10,James White middle for 8 yards (tackle by De'Vondre Campbell and Brian Poole),2.790,3.320
2,0:46,2,2,ATL 34,0,10,Tom Brady pass complete short left to Danny Amendola for 5 yards,3.320,3.640
2,0:42,1,10,ATL 29,0,10,Tom Brady pass complete deep left to Brandin Cooks for 18 yards (tackle by Robert Alford),3.640,0.000
2,0:36,,,,,,Timeout #1 by New England Patriots,0.000,-4.840
2,0:36,1,10,ATL 11,0,10,"James White left guard for no gain (tackle by Dontari Poe). Penalty on Grady Jarrett: Illegal Use of Hands, 5 yards (no play)",4.840,5.830
2,0:31,1,6,ATL 6,0,10,James White middle for 4 yards (tackle by De'Vondre Campbell and Deion Jones),5.830,0.000
2,0:26,,,,,,Timeout #2 by New England Patriots,0.000,-5.720
2,0:26,2,2,ATL 2,0,16,"Tom Brady pass complete short middle to James White for 2 yards, touchdown",5.720,7.000
2,0:21,,,ATL 15,0,17,Stephen Gostkowski kicks extra point good,0.000,0.000
2,0:21,,,NWE 35,0,17,"Stephen Gostkowski kicks off 62 yards, returned by Andre Roberts for 16 yards (tackle by Rex Burkhead)",0.000,-0.150
2,0:15,1,10,ATL 19,0,17,Matt Ryan pass complete short middle to Mohamed Sanu for 11 yards,0.150,0.000
2,0:09,,,,,,Timeout #2 by Atlanta Falcons,0.000,-0.940
2,0:09,1,10,ATL 30,0,17,Matt Ryan pass complete short right to Mohamed Sanu for 7 yards,0.940,1.340
2,0:03,2,3,ATL 37,0,17,Matt Ryan pass complete short middle to Taylor Gabriel for 18 yards,1.340,2.590
Quarter,Time,Down,ToGo,Location,ATL,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,0,17,"Stephen Gostkowski kicks off 62 yards, returned by Andre Roberts for 25 yards (tackle by Rex Burkhead)",0.000,-0.810
3,14:54,1,10,ATL 28,0,17,Tevin Coleman left guard for 2 yards (tackle by Trey Flowers),0.810,0.530
3,14:20,2,8,ATL 30,0,17,Matt Ryan pass complete short right to Julio Jones for 3 yards (tackle by Johnson Bademosi),0.530,0.230
3,13:40,3,5,ATL 33,0,17,Matt Ryan right end for 16 yards (tackle by Malcolm Butler),0.230,2.190
3,12:55,1,10,ATL 49,0,17,Tevin Coleman middle for 6 yards (tackle by Trey Flowers),2.190,2.460
3,12:28,2,4,NWE 45,0,17,Devonta Freeman right tackle for 4 yards,2.460,2.850
3,11:59,1,10,NWE 41,0,17,Devonta Freeman right guard for 21 yards (tackle by Devin McCourty),2.850,4.240
3,11:26,1,10,NWE 20,0,17,Tevin Coleman left guard for 3 yards (tackle by Trey Flowers and Lawrence Guy),4.240,4.120
3,10:49,2,7,NWE 17,0,17,Matt Ryan pass incomplete deep right intended for Julio Jones,4.120,3.360
3,10:44,3,7,NWE 17,0,17,Matt Ryan pass incomplete deep right intended for Mohamed Sanu,3.360,2.310
3,10:39,4,7,NWE 17,0,17,Matt Bryant 36 yard field goal no good,2.310,-0.670
3,10:35,1,10,NWE 26,0,17,"Penalty on Rob Gronkowski: False Start, 5 yards (no play)",0.670,0.340
3,10:35,1,15,NWE 21,0,17,Tom Brady pass incomplete deep right intended for Rob Gronkowski,0.340,-0.550
3,10:30,2,15,NWE 21,0,17,Tom Brady pass complete short left to Chris Hogan for 12 yards (tackle by Desmond Trufant),-0.550,0.370
3,9:49,3,3,NWE 33,0,17,Tom Brady left tackle for 6 yards (tackle by Blidi Wreh-Wilson),0.370,1.530
3,9:09,1,10,NWE 39,0,17,Dion Lewis left end for 2 yards (tackle by Grady Jarrett and Kemal Ishmael),1.530,1.260
3,8:35,2,8,NWE 41,0,17,Tom Brady pass incomplete short middle intended for Chris Hogan,1.260,0.560
3,8:31,3,8,NWE 41,0,17,Tom Brady pass complete short left to Brandin Cooks for 9 yards (tackle by Robert Alford),0.560,2.260
3,7:59,1,10,,0,17,Dion Lewis right tackle for 2 yards (tackle by Deion Jones and Keanu Neal),2.260,1.980
3,7:19,2,8,ATL 48,0,17,Tom Brady pass complete short right to Chris Hogan for 9 yards (tackle by Desmond Trufant),1.980,2.980
3,6:39,1,10,ATL 39,0,17,Tom Brady pass complete short middle to Chris Hogan for 30 yards (tackle by Deion Jones),2.980,5.140
3,5:55,1,9,ATL 9,0,17,Dion Lewis middle for 4 yards (tackle by Derrick Shelby and Joe Vellano),5.140,5.150
3,5:28,2,5,ATL 5,0,17,Dion Lewis middle for 4 yards (tackle by Grady Jarrett and Keanu Neal),5.150,5.170
3,4:56,3,1,ATL 1,0,17,Mike Gillislee right tackle for -2 yards (tackle by Vic Beasley and Kemal Ishmael),5.170,3.040
3,4:14,4,3,ATL 3,0,20,Stephen Gostkowski 21 yard field goal good,3.040,3.000
3,4:12,,,NWE 35,0,20,"Stephen Gostkowski kicks off 59 yards, returned by Andre Roberts for 18 yards (tackle by Matt Slater)",0.000,-0.540
3,4:07,1,10,ATL 24,0,20,Devonta Freeman left guard for 9 yards (tackle by David Harris and Duron Harmon),0.540,1.210
3,3:31,2,1,ATL 33,0,20,Matt Ryan pass complete short right to Devonta Freeman for 9 yards (tackle by Lawrence Guy and Johnson Bademosi). Penalty on Dont'a Hightower: Defensive Holding (Declined),1.210,1.730
3,3:06,1,10,ATL 42,0,20,Devonta Freeman middle for 10 yards (tackle by Deatrich Wise Jr. and David Harris),1.730,2.390
3,2:28,1,10,NWE 48,0,20,Devonta Freeman left end for 8 yards (tackle by Johnson Bademosi),2.390,2.930
3,1:53,2,2,NWE 40,0,20,Matt Ryan pass complete deep left to Julio Jones for 16 yards (tackle by Duron Harmon),2.930,3.970
3,1:30,1,10,NWE 24,0,20,Matt Ryan pass complete short middle to Julio Jones for 14 yards (tackle by Malcolm Butler),3.970,4.910
3,0:44,1,10,NWE 10,0,20,Devonta Freeman middle for no gain (tackle by Patrick Chung),4.910,4.190
Quarter,Time,Down,ToGo,Location,ATL,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,NWE 10,0,20,Matt Ryan pass complete short left to Mohamed Sanu for 9 yards (tackle by Johnson Bademosi and Patrick Chung),4.190,0.000
4,14:42,,,,,,Timeout #1 by New England Patriots,0.000,-5.170
4,14:42,3,1,NWE 1,0,20,Matt Ryan pass incomplete short right intended for Julio Jones (defended by Malcolm Butler),5.170,3.550
4,14:36,4,1,NWE 1,0,20,Taylor Gabriel right end for -5 yards,3.550,0.380
4,14:32,1,10,NWE 6,0,20,Mike Gillislee right guard for 3 yards (tackle by Kemal Ishmael and Brooks Reed),-0.380,-0.560
4,13:59,2,7,NWE 9,0,20,Tom Brady pass complete short left to Rob Gronkowski for 13 yards (tackle by Keanu Neal and Deion Jones),-0.560,0.410
4,13:23,1,10,NWE 22,0,20,Mike Gillislee left end for 1 yard (tackle by Derrick Shelby and Dontari Poe),0.410,0.000
4,12:44,,,,,,Timeout #1 by Atlanta Falcons,0.000,0.000
4,12:44,2,9,NWE 23,0,20,Tom Brady pass complete deep left to Brandin Cooks for 27 yards (tackle by Kemal Ishmael),0.000,2.260
4,12:12,1,10,,0,20,"Penalty on Adrian Clayborn: Encroachment, 5 yards (no play)",2.260,2.990
4,11:53,1,5,ATL 45,0,20,Mike Gillislee right end for 7 yards (tackle by Deion Jones and Keanu Neal),2.990,3.050
4,11:21,1,10,ATL 38,0,20,Mike Gillislee left end for 14 yards (tackle by Ricardo Allen),3.050,3.970
4,10:52,1,10,ATL 24,0,20,"Mike Gillislee middle for 6 yards (tackle by Keanu Neal). Penalty on Shaq Mason: Offensive Holding, 10 yards (no play)",3.970,3.310
4,10:32,1,20,ATL 34,0,20,Tom Brady pass incomplete short left intended for Rob Gronkowski,3.310,2.080
4,10:26,2,20,ATL 34,0,20,Tom Brady pass complete short left to Rex Burkhead for 11 yards (tackle by Robert Alford),2.080,2.870
4,9:57,3,9,ATL 23,0,20,Tom Brady pass complete short right to James White for 3 yards (tackle by Brian Poole),2.870,2.150
4,9:20,4,6,ATL 20,0,23,Stephen Gostkowski 38 yard field goal good,2.150,3.000
4,9:15,,,NWE 35,0,23,"Stephen Gostkowski kicks off 59 yards, returned by Andre Roberts for 6 yards (tackle by Brandon King)",0.000,0.350
4,9:09,1,10,ATL 12,0,23,Matt Ryan pass complete short right to Devonta Freeman for 5 yards (tackle by David Harris),-0.350,-0.230
4,8:41,2,5,ATL 17,0,23,Matt Ryan pass complete short right to Devonta Freeman for 4 yards (tackle by Adam Butler),-0.230,-0.370
4,7:59,3,1,ATL 21,0,23,Devonta Freeman right tackle for 4 yards (tackle by Trey Flowers and Adam Butler),-0.370,0.610
4,7:35,1,10,ATL 25,0,23,Matt Ryan pass complete short middle to Julio Jones for 14 yards (tackle by Devin McCourty),0.610,1.530
4,7:04,1,10,ATL 39,0,23,Matt Ryan pass complete short middle to Justin Hardy for 22 yards (tackle by Devin McCourty),1.530,2.980
4,6:37,1,10,NWE 39,0,23,Matt Ryan pass complete short left to Justin Hardy for -1 yards (tackle by Malcolm Butler),2.980,2.300
4,6:06,2,11,NWE 40,0,23,Matt Ryan pass complete short left to Julio Jones for 15 yards (tackle by Johnson Bademosi),2.300,3.910
4,5:44,1,10,NWE 25,0,23,Matt Ryan right end for 12 yards (tackle by Devin McCourty),3.910,4.710
4,5:12,1,10,NWE 13,0,23,Matt Ryan pass complete short right to Austin Hooper for 6 yards (tackle by Patrick Chung),4.710,5.150
4,4:41,2,4,NWE 7,0,23,Matt Ryan pass complete short right to Julio Jones for 6 yards (tackle by Patrick Chung and Duron Harmon),5.150,0.000
4,4:13,,,,,,Timeout #2 by New England Patriots,0.000,-6.970
4,4:13,1,1,NWE 1,6,23,"Matt Ryan pass complete short right to Julio Jones for 1 yard, touchdown",6.970,7.000
4,4:09,,,NWE 15,7,23,Matt Bryant kicks extra point good,0.000,0.000
4,4:09,,,ATL 35,7,23,"Matthew Bosher kicks onside 14 yards, recovered by Danny Amendola",0.000,-2.320
4,4:07,1,10,ATL 49,7,23,Dion Lewis right tackle for 2 yards (tackle by Keanu Neal and Dontari Poe),2.320,0.000
4,4:01,,,,,,Timeout #2 by Atlanta Falcons,0.000,-2.050
4,4:01,2,8,ATL 47,7,23,Dion Lewis left end for 7 yards (tackle by Kemal Ishmael and Ricardo Allen),2.050,0.000
4,3:53,,,,,,Timeout #3 by Atlanta Falcons,0.000,0.000
4,3:53,,,,,,Timeout #3 by New England Patriots,0.000,-2.280
4,3:53,3,1,ATL 40,7,23,Tom Brady middle for 2 yards (tackle by Deion Jones),2.280,3.050
4,3:16,1,10,ATL 38,7,23,Dion Lewis left guard for 8 yards (tackle by Ricardo Allen),3.050,3.590
4,2:33,2,2,ATL 30,7,23,Dion Lewis left tackle for 13 yards (tackle by Kemal Ishmael),3.590,4.440
4,2:00,1,10,ATL 17,7,23,Tom Brady kneels for -1 yards,4.440,3.720
4,1:18,2,11,ATL 18,7,23,Tom Brady kneels for -1 yards,3.720,2.910
4,0:39,3,12,ATL 19,7,23,Tom Brady kneels for -1 yards,2.910,2.120
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
