Unnamed: 0,HOU,JAX
First Downs,17,18
Rush-Yds-TDs,23-88-1,27-98-2
Cmp-Att-Yd-TD-INT,22-30-219-1-0,19-25-218-1-0
Sacked-Yards,6-28,2-4
Net Pass Yards,191,214
Total Yards,279,312
Fumbles-Lost,5-1,1-0
Turnovers,1,0
Penalties-Yards,4-30,6-45
Third Down Conv.,4-12,6-12
Fourth Down Conv.,1-2,0-0
Time of Possession,30:56,29:04
