Unnamed: 0,GNB,TAM
First Downs,8,20
Rush-Yds-TDs,18-28-0,41-178-1
Cmp-Att-Yd-TD-INT,16-32-171-2-3,15-30-149-1-3
Sacked-Yards,3-18,0-0
Net Pass Yards,153,149
Total Yards,181,327
Fumbles-Lost,1-1,0-0
Turnovers,4,3
Penalties-Yards,7-74,8-70
Third Down Conv.,4-13,5-14
Fourth Down Conv.,1-3,1-1
Time of Possession,23:10,36:50
